x_km,z_km,dz_dx,dz_dt_km_s,range_km,dR_dt_m_s,vhf_doppler_hz,hf_doppler_hz
-60.000,404.000000,-0.133333333,-0.533333333,409.195552,-1113.078244,445.231297,66.851546
-59.800,403.973378,-0.132888889,-0.531555556,409.139988,-1109.484055,443.793622,66.635679
-59.600,403.946844,-0.132444444,-0.529777778,409.084604,-1105.888751,442.355500,66.419745
-59.400,403.920400,-0.132000000,-0.528000000,409.029399,-1102.292334,440.916934,66.203744
-59.200,403.894044,-0.131555556,-0.526222222,408.974375,-1098.694807,439.477923,65.987676
-59.000,403.867778,-0.131111111,-0.524444444,408.919530,-1095.096173,438.038469,65.771542
-58.800,403.841600,-0.130666667,-0.522666667,408.864865,-1091.496436,436.598574,65.555341
-58.600,403.815511,-0.130222222,-0.520888889,408.810380,-1087.895597,435.158239,65.339075
-58.400,403.789511,-0.129777778,-0.519111111,408.756076,-1084.293661,433.717465,65.122742
-58.200,403.763600,-0.129333333,-0.517333333,408.701951,-1080.690631,432.276252,64.906344
-58.000,403.737778,-0.128888889,-0.515555556,408.648006,-1077.086508,430.834603,64.689880
-57.800,403.712044,-0.128444444,-0.513777778,408.594242,-1073.481297,429.392519,64.473351
-57.600,403.686400,-0.128000000,-0.512000000,408.540658,-1069.875000,427.950000,64.256757
-57.400,403.660844,-0.127555556,-0.510222222,408.487255,-1066.267620,426.507048,64.040097
-57.200,403.635378,-0.127111111,-0.508444444,408.434032,-1062.659161,425.063664,63.823373
-57.000,403.610000,-0.126666667,-0.506666667,408.380989,-1059.049625,423.619850,63.606584
-56.800,403.584711,-0.126222222,-0.504888889,408.328127,-1055.439016,422.175607,63.389731
-56.600,403.559511,-0.125777778,-0.503111111,408.275445,-1051.827337,420.730935,63.172813
-56.400,403.534400,-0.125333333,-0.501333333,408.222944,-1048.214590,419.285836,62.955831
-56.200,403.509378,-0.124888889,-0.499555556,408.170624,-1044.600779,417.840312,62.738786
-56.000,403.484444,-0.124444444,-0.497777778,408.118484,-1040.985907,416.394363,62.521676
-55.800,403.459600,-0.124000000,-0.496000000,408.066525,-1037.369977,414.947991,62.304503
-55.600,403.434844,-0.123555556,-0.494222222,408.014747,-1033.752992,413.501197,62.087267
-55.400,403.410178,-0.123111111,-0.492444444,407.963150,-1030.134955,412.053982,61.869967
-55.200,403.385600,-0.122666667,-0.490666667,407.911733,-1026.515869,410.606348,61.652605
-55.000,403.361111,-0.122222222,-0.488888889,407.860498,-1022.895738,409.158295,61.435179
-54.800,403.336711,-0.121777778,-0.487111111,407.809444,-1019.274565,407.709826,61.217692
-54.600,403.312400,-0.121333333,-0.485333333,407.758571,-1015.652352,406.260941,61.000141
-54.400,403.288178,-0.120888889,-0.483555556,407.707879,-1012.029103,404.811641,60.782529
-54.200,403.264044,-0.120444444,-0.481777778,407.657368,-1008.404821,403.361929,60.564854
