Column,SpacecraftLon,SpacecraftLat,SpacecraftHgt,NadirHgt,NadirLine,NadirAreoidRad,NadirEllipsoidRad,FirstLon,FirstLat,FirstHgt,FirstLine
1,167.113769,70.085493,313243.232,-2865,2603,3380200,3378549.683,167.117362,70.103131,-2862.720,2603
2,167.111018,70.091384,313245.725,-2873,2605,3380199,3378548.352,167.030468,70.101317,-2859.130,2603
3,167.107710,70.098463,313248.721,-2880,2606,3380197,3378546.753,167.029808,70.108537,-2858.721,2602
4,167.104110,70.106163,313251.979,-2885,2607,3380196,3378545.014,167.031116,70.115462,-2870.214,2605
5,167.100532,70.113811,313255.213,-2892,2608,3380194,3378543.287,167.038632,70.124750,-2881.895,2606
6,167.096927,70.121510,313258.468,-2897,2609,3380192,3378541.549,167.037683,70.132589,-2889.183,2608
7,167.093345,70.129158,313261.700,-2901,2610,3380191,3378539.824,167.039436,70.140523,-2894.393,2609
8,167.089736,70.136857,313264.953,-2905,2611,3380190,3378538.087,167.093004,70.150289,-2902.803,2610
9,167.086149,70.144505,313268.184,-2909,2611,3380188,3378536.362,167.093441,70.158149,-2906.031,2610
10,167.082536,70.152204,313271.434,-2912,2612,3380187,3378534.627,167.101901,70.166496,-2907.762,2611
11,167.078945,70.159852,313274.662,-2914,2612,3380185,3378532.904,167.101000,70.174283,-2908.008,2611
12,167.075327,70.167551,313277.911,-2918,2613,3380184,3378531.169,167.101417,70.182194,-2909.227,2611
13,167.071707,70.175250,313281.159,-2912,2612,3380182,3378529.435,167.100493,70.190033,-2908.852,2611
14,167.068109,70.182897,313284.384,-2909,2612,3380180,3378527.714,167.093213,70.201628,-2906.576,2611
15,167.064485,70.190596,313287.629,-2905,2611,3380179,3378525.981,167.078342,70.210789,-2903.516,2611
16,167.060883,70.198243,313290.852,-2911,2612,3380178,3378524.261,166.959678,70.210091,-2897.618,2611
17,167.057254,70.205941,313294.096,-2914,2612,3380176,3378522.529,166.961077,70.213905,-2897.927,2610
18,167.053647,70.213588,313297.316,-2919,2613,3380174,3378520.810,166.969230,70.231537,-2896.865,2610
19,167.050013,70.221287,313300.558,-2920,2614,3380173,3378519.079,166.968874,70.234217,-2896.307,2610
20,167.046402,70.228934,313303.776,-2923,2614,3380171,3378517.361,166.975998,70.242444,-2896.349,2610
21,167.042764,70.236632,313307.015,-2922,2614,3380170,3378515.632,166.975026,70.250283,-2895.589,2610
22,167.039148,70.244279,313310.232,-2922,2614,3380167,3378513.915,166.968693,70.257776,-2897.018,2610
23,167.035506,70.251977,313313.469,-2921,2614,3380167,3378512.187,166.975802,70.266055,-2897.050,2610
24,167.031886,70.259624,313316.683,-2921,2614,3380165,3378510.471,166.951635,70.268421,-2897.130,2610
25,167.028239,70.267322,313319.918,-2918,2614,3380164,3378508.744,166.945263,70.275965,-2896.227,2610
26,167.024614,70.274968,313323.130,-2916,2613,3380162,3378507.029,166.937874,70.287555,-2893.340,2610
27,167.020963,70.282666,313326.363,-2915,2613,3380160,3378505.304,166.929517,70.300183,-2888.511,2609
