position_km,parabolic_altitude_km,parabolic_vertical_speed_km_s,hf_doppler_hz,vhf_doppler_hz,hf_abs_doppler_hz,vhf_abs_doppler_hz
-60.000,404.000000,-0.533333333,66.851546,445.231297,66.851546,445.231297
-59.800,403.973378,-0.531555556,66.635679,443.793622,66.635679,443.793622
-59.600,403.946844,-0.529777778,66.419745,442.355500,66.419745,442.355500
-59.400,403.920400,-0.528000000,66.203744,440.916934,66.203744,440.916934
-59.200,403.894044,-0.526222222,65.987676,439.477923,65.987676,439.477923
-59.000,403.867778,-0.524444444,65.771542,438.038469,65.771542,438.038469
-58.800,403.841600,-0.522666667,65.555341,436.598574,65.555341,436.598574
-58.600,403.815511,-0.520888889,65.339075,435.158239,65.339075,435.158239
-58.400,403.789511,-0.519111111,65.122742,433.717465,65.122742,433.717465
-58.200,403.763600,-0.517333333,64.906344,432.276252,64.906344,432.276252
-58.000,403.737778,-0.515555556,64.689880,430.834603,64.689880,430.834603
-57.800,403.712044,-0.513777778,64.473351,429.392519,64.473351,429.392519
-57.600,403.686400,-0.512000000,64.256757,427.950000,64.256757,427.950000
-57.400,403.660844,-0.510222222,64.040097,426.507048,64.040097,426.507048
-57.200,403.635378,-0.508444444,63.823373,425.063664,63.823373,425.063664
-57.000,403.610000,-0.506666667,63.606584,423.619850,63.606584,423.619850
-56.800,403.584711,-0.504888889,63.389731,422.175607,63.389731,422.175607
-56.600,403.559511,-0.503111111,63.172813,420.730935,63.172813,420.730935
-56.400,403.534400,-0.501333333,62.955831,419.285836,62.955831,419.285836
-56.200,403.509378,-0.499555556,62.738786,417.840312,62.738786,417.840312
-56.000,403.484444,-0.497777778,62.521676,416.394363,62.521676,416.394363
-55.800,403.459600,-0.496000000,62.304503,414.947991,62.304503,414.947991
-55.600,403.434844,-0.494222222,62.087267,413.501197,62.087267,413.501197
-55.400,403.410178,-0.492444444,61.869967,412.053982,61.869967,412.053982
-55.200,403.385600,-0.490666667,61.652605,410.606348,61.652605,410.606348
-55.000,403.361111,-0.488888889,61.435179,409.158295,61.435179,409.158295
-54.800,403.336711,-0.487111111,61.217692,407.709826,61.217692,407.709826
-54.600,403.312400,-0.485333333,61.000141,406.260941,61.000141,406.260941
-54.400,403.288178,-0.483555556,60.782529,404.811641,60.782529,404.811641
-54.200,403.264044,-0.481777778,60.564854,403.361929,60.564854,403.361929
-54.000,403.240000,-0.480000000,60.347118,401.911804,60.347118,401.911804
-53.800,403.216044,-0.478222222,60.129320,400.461269,60.129320,400.461269
-53.600,403.192178,-0.476444444,59.911460,399.010324,59.911460,399.010324
-53.400,403.168400,-0.474666667,59.693539,397.558971,59.693539,397.558971
-53.200,403.144711,-0.472888889,59.475557,396.107211,59.475557,396.107211
-53.000,403.121111,-0.471111111,59.257514,394.655046,59.257514,394.655046
-52.800,403.097600,-0.469333333,59.039411,393.202476,59.039411,393.202476
-52.600,403.074178,-0.467555556,58.821247,391.749504,58.821247,391.749504
-52.400,403.050844,-0.465777778,58.603022,390.296129,58.603022,390.296129
-52.200,403.027600,-0.464000000,58.384738,388.842355,58.384738,388.842355
-52.000,403.004444,-0.462222222,58.166394,387.388181,58.166394,387.388181
-51.800,402.981378,-0.460444444,57.947989,385.933609,57.947989,385.933609
-51.600,402.958400,-0.458666667,57.729526,384.478641,57.729526,384.478641
-51.400,402.935511,-0.456888889,57.511003,383.023277,57.511003,383.023277
-51.200,402.912711,-0.455111111,57.292420,381.567520,57.292420,381.567520
-51.000,402.890000,-0.453333333,57.073779,380.111369,57.073779,380.111369
