satellite_position_km,nadir_surface_echo_m,offnadir_surface_echo_apparent_depth_m,offnadir_extra_two_way_delay_us
-60.000,0.000000,2947.661999,35.003138
-59.800,0.000000,2931.053400,34.805913
-59.600,0.000000,2914.499048,34.609332
-59.400,0.000000,2897.998958,34.413395
-59.200,0.000000,2881.553139,34.218103
-59.000,0.000000,2865.161605,34.023455
-58.800,0.000000,2848.824367,33.829453
-58.600,0.000000,2832.541436,33.636095
-58.400,0.000000,2816.312824,33.443382
-58.200,0.000000,2800.138543,33.251314
-58.000,0.000000,2784.018605,33.059892
-57.800,0.000000,2767.953020,32.869115
-57.600,0.000000,2751.941801,32.678984
-57.400,0.000000,2735.984959,32.489498
-57.200,0.000000,2720.082505,32.300658
-57.000,0.000000,2704.234451,32.112464
-56.800,0.000000,2688.440808,31.924917
-56.600,0.000000,2672.701588,31.738015
-56.400,0.000000,2657.016801,31.551760
-56.200,0.000000,2641.386460,31.366152
-56.000,0.000000,2625.810575,31.181190
-55.800,0.000000,2610.289157,30.996875
-55.600,0.000000,2594.822218,30.813207
-55.400,0.000000,2579.409769,30.630186
-55.200,0.000000,2564.051820,30.447812
-55.000,0.000000,2548.748384,30.266086
-54.800,0.000000,2533.499470,30.085007
-54.600,0.000000,2518.305091,29.904575
-54.400,0.000000,2503.165256,29.724792
-54.200,0.000000,2488.079977,29.545656
-54.000,0.000000,2473.049264,29.367168
-53.800,0.000000,2458.073129,29.189328
-53.600,0.000000,2443.151582,29.012136
-53.400,0.000000,2428.284634,28.835593
-53.200,0.000000,2413.472296,28.659698
-53.000,0.000000,2398.714579,28.484452
-52.800,0.000000,2384.011492,28.309855
-52.600,0.000000,2369.363047,28.135906
-52.400,0.000000,2354.769254,27.962607
-52.200,0.000000,2340.230124,27.789956
-52.000,0.000000,2325.745667,27.617955
-51.800,0.000000,2311.315894,27.446603
-51.600,0.000000,2296.940815,27.275901
-51.400,0.000000,2282.620441,27.105848
-51.200,0.000000,2268.354781,26.936445
-51.000,0.000000,2254.143847,26.767692
-50.800,0.000000,2239.987649,26.599589
-50.600,0.000000,2225.886196,26.432135
-50.400,0.000000,2211.839499,26.265333
-50.200,0.000000,2197.847568,26.099180
-50.000,0.000000,2183.910413,25.933678
-49.800,0.000000,2170.028045,25.768827
-49.600,0.000000,2156.200473,25.604626
-49.400,0.000000,2142.427707,25.441076
-49.200,0.000000,2128.709758,25.278177
-49.000,0.000000,2115.046635,25.115929
-48.800,0.000000,2101.438349,24.954332
-48.600,0.000000,2087.884909,24.793386
-48.400,0.000000,2074.386324,24.633092
-48.200,0.000000,2060.942606,24.473450
-48.000,0.000000,2047.553762,24.314459
-47.800,0.000000,2034.219805,24.156120
-47.600,0.000000,2020.940742,23.998432
-47.400,0.000000,2007.716583,23.841397
-47.200,0.000000,1994.547339,23.685014
-47.000,0.000000,1981.433018,23.529283
-46.800,0.000000,1968.373631,23.374204
-46.600,0.000000,1955.369187,23.219778
-46.400,0.000000,1942.419694,23.066004
-46.200,0.000000,1929.525164,22.912883
-46.000,0.000000,1916.685604,22.760415
