dirty_layer_thickness_m,dirty_layer_attenuation_db_km_hf,ambiguous_or_false_pct,ocean_hidden_pct,median_ocean_margin_db,median_false_minus_ocean_db
1,1,0.0,0.0,9.306687139060081,-7.231242356654931
1,2,0.0,0.0,9.304687139060078,-7.230240756917581
1,4,0.0,0.0,9.30068713906008,-7.228234357973662
1,6,0.0,0.0,9.296687139060083,-7.226223693086581
1,8,0.0,0.0,9.292687139060078,-7.224208762285464
1,12,0.0,0.0,9.284687139060082,-7.220166103116249
1,16,0.0,0.0,9.27668713906008,-7.2161063809326365
1,20,0.0,0.0,9.268687139060077,-7.212029596387879
5,1,100.0,0.0,9.304687139060078,2.3882368376196013
5,2,100.0,0.0,9.29468713906008,2.393241201178725
5,4,100.0,0.0,9.274687139060077,2.4032586554003217
5,6,100.0,0.0,9.254687139060081,2.4132877457165733
5,8,100.0,0.0,9.234687139060085,2.4233284720479062
5,12,100.0,0.0,9.194687139060079,2.443444832278246
5,16,100.0,0.0,9.15468713906008,2.4636077348178986
5,20,100.0,0.0,9.11468713906008,2.4838171778841414
10,1,0.0,0.0,9.30218713906008,-11.344265247457948
10,2,0.0,0.0,9.282187139060085,-11.333853262458497
10,4,0.0,0.0,9.242187139060078,-11.31220570225419
10,6,0.0,0.0,9.20218713906008,-11.289461117975726
10,8,0.0,0.0,9.16218713906008,-11.265621530188149
10,12,0.0,0.0,9.082187139060082,-11.214669425297132
10,16,0.0,0.0,9.002187139060084,-11.159381436501306
10,20,0.0,0.0,8.922187139060085,-11.099801989246131
30,1,93.44262295081968,0.0,9.292187139060076,-2.3113321546584444
30,2,93.44262295081968,0.0,9.232187139060073,-2.2808699484573722
30,4,96.72131147540983,0.0,9.112187139060083,-2.2190215051835054
30,6,100.0,0.0,8.992187139060078,-2.155942121964628
30,8,100.0,0.0,8.872187139060074,-2.0916338286282325
30,12,100.0,0.0,8.632187139060079,-1.9593426483789642
30,16,100.0,0.0,8.392187139060077,-1.8221801614873456
30,20,100.0,0.0,8.152187139060075,-1.6801910006747676
60,1,100.0,0.0,9.277187139060075,1.914434124764341
60,2,100.0,0.0,9.157187139060078,1.9751304839791501
60,4,100.0,0.0,8.917187139060076,2.097915468935817
60,6,100.0,0.0,8.67718713906008,2.222555504821443
60,8,100.0,0.0,8.437187139060072,2.349048186869119
60,12,100.0,0.0,7.957187139060075,2.607577106241152
60,16,100.0,0.0,7.477187139060078,2.873464052290167
60,20,100.0,0.0,6.997187139060074,3.146656057449036
100,1,100.0,0.0,9.257187139060079,1.2953533986660446
100,2,100.0,0.0,9.057187139060076,1.397573762237954
100,4,100.0,0.0,8.657187139060078,1.6064497555671906
100,6,100.0,0.0,8.257187139060079,1.8212237094718944
100,8,100.0,0.0,7.857187139060073,2.041866744917705
100,12,100.0,0.0,7.057187139060076,2.500588839819315
100,16,100.0,0.0,6.257187139060079,2.9821674823310573
100,20,100.0,0.0,5.457187139060082,3.4859954351564966
200,1,13.114754098360656,0.0,9.207187139060082,-3.483624246899126
200,2,44.26229508196721,0.0,8.807187139060076,-3.08362424689912
200,4,93.44262295081968,0.0,8.007187139060079,-2.283624246899123
200,6,100.0,0.0,7.207187139060082,-1.4836242468991259
200,8,100.0,0.0,6.407187139060078,-0.6836242468991216
200,12,100.0,0.0,4.807187139060076,0.9163757531008798
200,16,100.0,0.0,3.207187139060082,2.516375753100874
200,20,100.0,0.0,1.6071871390600734,4.116375753100883
500,1,27.86885245901639,0.0,9.057187139060076,-3.33362424689912
500,2,91.80327868852459,0.0,8.057187139060076,-2.33362424689912
500,4,100.0,0.0,6.057187139060076,-0.3336242468991202
500,6,100.0,0.0,4.057187139060076,1.6663757531008798
500,8,100.0,0.0,2.057187139060076,3.66637575310088
500,12,100.0,0.0,-1.9428128609399238,7.66637575310088
500,16,100.0,0.0,-5.942812860939924,11.66637575310088
500,20,100.0,0.0,-9.942812860939924,15.66637575310088
