scenario,frequency,points,clear_ocean_pct,ambiguous_pct,false_stronger_pct,hidden_false_visible_pct,weak_no_deep_detection_pct,median_ocean_margin_db,min_ocean_margin_db,max_false_minus_ocean_db,max_abs_inferred_depth_error_m,median_layer_count
briny_lens_masking,HF_9MHz,241,63.48547717842323,0.0,0.0,0.0,36.51452282157676,4.6060273066734965,-24.767589319691538,47.44532603424914,11132.373915858945,1.0
briny_lens_masking,VHF_60MHz,241,0.0,0.0,0.0,0.0,100.0,-37.95030293814274,-113.79265494600475,126.73690678442853,11132.373915858945,1.0
clean_ice_control,HF_9MHz,241,100.0,0.0,0.0,0.0,0.0,15.227017573752299,13.833809381043476,-967.8338093810435,0.0,0.0
clean_ice_control,VHF_60MHz,241,0.0,0.0,0.0,0.0,100.0,-10.527023988391207,-14.124272073831875,-939.8757279261681,0.0,0.0
complex_dirty_ice,HF_9MHz,241,39.83402489626556,2.0746887966804977,0.4149377593360996,0.0,57.676348547717836,-1.5097538133337451,-30.335608724880075,51.987328887331536,12680.858171782596,12.0
complex_dirty_ice,VHF_60MHz,241,0.0,0.0,0.0,0.0,100.0,-53.741181889367894,-128.169219231108,138.46430772337163,12680.858171782596,12.0
mixed_dirty_thin_layers,HF_9MHz,241,31.12033195020747,21.991701244813278,46.88796680497925,0.0,0.0,7.904770122232733,5.972524594588407,5.399214441559479,4726.865916806577,6.0
mixed_dirty_thin_layers,VHF_60MHz,241,0.0,0.0,0.0,0.0,100.0,-29.43298561275452,-34.42202211232134,11.217159181343732,4744.124767736299,6.0
non_salt_impurity_mix,HF_9MHz,241,89.62655601659752,4.564315352697095,5.809128630705394,0.0,0.0,4.018986873990997,2.302944177011071,10.23705789502791,12680.858171782596,3.0
non_salt_impurity_mix,VHF_60MHz,241,0.0,0.0,0.0,0.0,100.0,-39.466034817695856,-43.89683800888527,41.0898953285439,12680.858171782596,3.0
salt_reference,HF_9MHz,241,100.0,0.0,0.0,0.0,0.0,12.263862356406186,10.61734358320485,-8.495647710103455,0.0,2.0
salt_reference,VHF_60MHz,241,0.0,0.0,0.0,0.0,100.0,-18.17785786106394,-22.42915105294837,15.640039088287594,8033.064494596561,2.0
