x_km,shell_mode,scenario,band,frequency_mhz,band_role,ocean_depth_m,surface_height_m,surface_slope_deg,lens_strength,layer_count,layer_source_statuses,layer_sources,ocean_in_band_window,ocean_snr_margin_db,false_snr_margin_db,false_minus_ocean_db,false_depth_m,false_label,false_source_status,surface_clutter_snr_margin_db,surface_clutter_minus_ocean_db,surface_clutter_apparent_depth_m,surface_clutter_label,surface_clutter_source_status,surface_clutter_detected,surface_clutter_confuses_shallow_window,surface_roughness_index,classification,inferred_depth_m,inferred_depth_error_m,thermal_mode,thin_layer_solver
-60.0,thin_3km_reason_mode,clean_ice_control,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,19.23080913909781,-999.0,-1018.2308091390978,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,clean_ice_control,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,9.995815162297399,-999.0,-1008.9958151622974,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,clean_ice_control,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,28.150898264748733,-999.0,-1027.1508982647488,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,salt_layers_reason,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,1,Directly paper anchored epsilon and layer thicknesses,"Blankenship et al. 2024, REASON",True,19.22980913909781,3.1181841179412544,-16.111625021156556,1446.372541105475,base 1 m ocean-injected hydrated salt layer; top 1 m ocean-injected hydrated salt layer,Directly paper anchored epsilon and layer thicknesses,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,salt_layers_reason,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,1,Directly paper anchored epsilon and layer thicknesses,"Blankenship et al. 2024, REASON",True,9.993233173399927,-6.8099474097093164,-16.803180583109246,1446.372541105475,base 1 m ocean-injected hydrated salt layer; top 1 m ocean-injected hydrated salt layer,Directly paper anchored epsilon and layer thicknesses,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,salt_layers_reason,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,1,Directly paper anchored epsilon and layer thicknesses,"Blankenship et al. 2024, REASON",True,28.148316275851258,11.34513569274202,-16.80318058310924,1446.372541105475,base 1 m ocean-injected hydrated salt layer; top 1 m ocean-injected hydrated salt layer,Directly paper anchored epsilon and layer thicknesses,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,near_surface_brine,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,19.23080913909781,-999.0,-1018.2308091390978,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,near_surface_brine,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,9.995815162297399,-999.0,-1008.9958151622974,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,near_surface_brine,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,28.150898264748733,-999.0,-1027.1508982647488,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,cold_conductive,normal_incidence_transfer_matrix
-60.0,thin_3km_reason_mode,warm_impure_ice,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0.0014571201453582399,0,none,none,True,17.142044646367317,-999.0,-1016.1420446463674,,none,none,-999.0,,,none,none,False,False,0.0,clear ocean boundary,2892.74508221095,0.0,warm_impure,normal_incidence_transfer_matrix
