v1_scenario,v2_scenario,v1_frequency,v2_band,comparison_note,v1_deep_false_risk_pct,v2_deep_false_risk_pct,risk_delta_v2_minus_v1_pct,v1_clear_ocean_pct,v2_clear_ocean_pct,v1_weak_no_deep_detection_pct,v2_weak_no_deep_detection_pct,v2_outside_band_depth_window_pct,v2_internal_feature_only_pct
clean_ice_control,clean_ice_control,HF_9MHz,HF_9MHz_full_depth,Closest like-for-like comparison: HF full-depth to HF full-depth.,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
clean_ice_control,clean_ice_control,VHF_60MHz,VHF_60MHz_full_depth_lowDR,Diagnostic only: v1 used one generic VHF case; v2 separates shallow VHF and low-dynamic-range full-depth VHF.,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
salt_reference,salt_layers_reason,HF_9MHz,HF_9MHz_full_depth,Closest like-for-like comparison: HF full-depth to HF full-depth.,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
salt_reference,salt_layers_reason,VHF_60MHz,VHF_60MHz_full_depth_lowDR,Diagnostic only: v1 used one generic VHF case; v2 separates shallow VHF and low-dynamic-range full-depth VHF.,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0
mixed_dirty_thin_layers,stacked_dirty_layers,HF_9MHz,HF_9MHz_full_depth,Closest like-for-like comparison: HF full-depth to HF full-depth.,68.87966804979253,100.0,31.120331950207472,31.12033195020747,0.0,0.0,0.0,0.0,0.0
mixed_dirty_thin_layers,stacked_dirty_layers,VHF_60MHz,VHF_60MHz_full_depth_lowDR,Diagnostic only: v1 used one generic VHF case; v2 separates shallow VHF and low-dynamic-range full-depth VHF.,0.0,78.83817427385893,78.83817427385893,0.0,0.0,100.0,21.16182572614108,0.0,0.0
briny_lens_masking,briny_mushy_lens,HF_9MHz,HF_9MHz_full_depth,Closest like-for-like comparison: HF full-depth to HF full-depth.,0.0,0.0,0.0,63.48547717842323,32.365145228215766,36.51452282157676,67.63485477178423,0.0,0.0
briny_lens_masking,briny_mushy_lens,VHF_60MHz,VHF_60MHz_full_depth_lowDR,Diagnostic only: v1 used one generic VHF case; v2 separates shallow VHF and low-dynamic-range full-depth VHF.,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
complex_dirty_ice,complex_paper_calibrated,HF_9MHz,HF_9MHz_full_depth,Closest like-for-like comparison: HF full-depth to HF full-depth.,2.489626556016597,1.2448132780082988,-1.2448132780082983,39.83402489626556,0.0,57.67634854771784,98.7551867219917,0.0,0.0
complex_dirty_ice,complex_paper_calibrated,VHF_60MHz,VHF_60MHz_full_depth_lowDR,Diagnostic only: v1 used one generic VHF case; v2 separates shallow VHF and low-dynamic-range full-depth VHF.,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0
