x_km,shell_mode,scenario,scenario_label,band,frequency_mhz,band_role,ocean_depth_m,surface_height_m,surface_slope_deg,layer_count,layer_source_statuses,ocean_in_band_window,classification,ocean_snr_margin_db,false_snr_margin_db,false_minus_ocean_db,false_depth_m,surface_clutter_snr_margin_db,surface_clutter_apparent_depth_m,surface_roughness_index,attenuation_risk_0_100,false_layer_risk_0_100,surface_clutter_risk_0_100,material_ambiguity_risk_0_100,band_window_penalty_0_100,cross_band_support_0_100,ocean_confidence_score_0_100,confidence_band,v3_broad_outcome,v3_interpretation
-60.0,thin_3km_reason_mode,clean_ice_control,Clean ice,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,19.23080913909781,-999.0,-1018.2308091390978,,-999.0,,0.0,0.0,0.0,0.0,5.0,0.0,85.0,100.0,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,9.9958151622974,-999.0,-1008.9958151622974,,-999.0,,0.0,10.62,0.0,0.0,5.0,0.0,85.0,98.77,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,clean_ice_control,Clean ice,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,28.150898264748733,-999.0,-1027.1508982647488,,-999.0,,0.0,0.0,0.0,0.0,5.0,25.0,85.0,93.4,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,salt_layers_reason,Salt layers,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,1,Directly paper anchored epsilon and layer thicknesses,True,clear ocean boundary,19.22980913909781,3.1181841179412544,-16.111625021156556,1446.372541105475,-999.0,,0.0,0.0,0.0,0.0,27.0,0.0,85.0,100.0,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,1,Directly paper anchored epsilon and layer thicknesses,True,clear ocean boundary,9.993233173399927,-6.8099474097093164,-16.803180583109246,1446.372541105475,-999.0,,0.0,13.27,0.0,0.0,27.0,0.0,85.0,95.77,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,salt_layers_reason,Salt layers,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,1,Directly paper anchored epsilon and layer thicknesses,True,clear ocean boundary,28.148316275851258,11.34513569274202,-16.80318058310924,1446.372541105475,-999.0,,0.0,0.0,0.0,0.0,27.0,25.0,85.0,90.54,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,near_surface_brine,Near-surface brine,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,19.23080913909781,-999.0,-1018.2308091390978,,-999.0,,0.0,0.0,0.0,0.0,45.0,0.0,85.0,99.45,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_shallow,60.0,High-resolution shallow sounding and clutter discrimination support.,2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,9.9958151622974,-999.0,-1008.9958151622974,,-999.0,,0.0,15.42,0.0,0.0,45.0,0.0,85.0,93.33,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,near_surface_brine,Near-surface brine,VHF_60MHz_full_depth_lowDR,60.0,Full-depth VHF sensitivity check with reduced radiometric fidelity.,2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,28.150898264748733,-999.0,-1027.1508982647488,,-999.0,,0.0,0.0,0.0,0.0,45.0,25.0,85.0,88.2,high,ocean_candidate,high-confidence ocean candidate
-60.0,thin_3km_reason_mode,warm_impure_ice,Warm impure ice,HF_9MHz_full_depth,9.0,"Full-depth, lower-resolution sounding; primary deep-ocean stress test.",2892.74508221095,119.42638570504096,-1.000319418716319,0,none,True,clear ocean boundary,17.142044646367317,-999.0,-1016.1420446463674,,-999.0,,0.0,0.0,0.0,0.0,55.0,0.0,85.0,98.15,high,ocean_candidate,high-confidence ocean candidate
