timeS,altitudeFineKm,incidenceFineDeg,distanceFineKm,groundTrackFineKm,latFineDeg,lonFineDeg,rangeRateKmS,dopplerHz,aliasHz_prf_737_7,foldOrder_prf_737_7,aliasHz_prf_1000,foldOrder_prf_1000,aliasHz_prf_1500,foldOrder_prf_1500,aliasHz_prf_2200,foldOrder_prf_2200,aliasHz_prf_3000,foldOrder_prf_3000
-240,346.561,8.372,298.234,-920.569,-0.459,167.585,-2.94399999999996,1178.41523551602,-296.984764483984,2,178.415235516016,1,-321.584764483984,1,-1021.58476448398,1,1178.41523551602,-0
-239.5,345.43325,8.42875,296.762,-919.0315,-0.4595,167.6415,-2.94400000000002,1178.41523551604,-296.984764483962,2,178.415235516038,1,-321.584764483962,1,-1021.58476448396,1,1178.41523551604,-0
-239,344.3055,8.4855,295.29,-917.494,-0.46,167.698,-2.94400000000002,1178.41523551604,-296.984764483962,2,178.415235516038,1,-321.584764483962,1,-1021.58476448396,1,1178.41523551604,-0
-238.5,343.17775,8.54225,293.818,-915.9565,-0.4605,167.7545,-2.94399999999996,1178.41523551602,-296.984764483984,2,178.415235516016,1,-321.584764483984,1,-1021.58476448398,1,1178.41523551602,-0
-238,342.05,8.599,292.346,-914.419,-0.461,167.811,-2.94799999999998,1180.01634317297,-295.383656827026,2,180.016343172974,1,-319.983656827026,1,-1019.98365682703,1,1180.01634317297,0
-237.5,340.929,8.65625,290.87,-912.87425,-0.46125,167.86775,-2.952,1181.61745082993,-293.782549170067,2,181.617450829933,1,-318.382549170067,1,-1018.38254917007,1,1181.61745082993,0
-237,339.808,8.7135,289.394,-911.3295,-0.4615,167.9245,-2.952,1181.61745082993,-293.782549170067,2,181.617450829933,1,-318.382549170067,1,-1018.38254917007,1,1181.61745082993,0
-236.5,338.687,8.77075,287.918,-909.78475,-0.46175,167.98125,-2.952,1181.61745082993,-293.782549170067,2,181.617450829933,1,-318.382549170067,1,-1018.38254917007,1,1181.61745082993,0
-236,337.566,8.828,286.442,-908.24,-0.462,168.038,-2.95625000000001,1183.31862771545,-292.081372284551,2,183.318627715449,1,-316.681372284551,1,-1016.68137228455,1,1183.31862771545,0
-235.5,336.45175,8.8855,284.96175,-906.688,-0.46225,168.095,-2.96050000000002,1185.01980460096,-290.380195399035,2,185.019804600965,1,-314.980195399035,1,-1014.98019539904,1,1185.01980460096,0
-235,335.3375,8.943,283.4815,-905.136,-0.4625,168.152,-2.96049999999997,1185.01980460094,-290.380195399058,2,185.019804600942,1,-314.980195399058,1,-1014.98019539906,1,1185.01980460094,0
-234.5,334.22325,9.0005,282.00125,-903.584,-0.46275,168.209,-2.96049999999997,1185.01980460094,-290.380195399058,2,185.019804600942,1,-314.980195399058,1,-1014.98019539906,1,1185.01980460094,0
-234,333.109,9.058,280.521,-902.032,-0.463,168.266,-2.96424999999999,1186.52084302934,-288.879156970656,2,186.520843029344,1,-313.479156970656,1,-1013.47915697066,1,1186.52084302934,-0
-233.5,332.0015,9.1155,279.037,-900.4725,-0.4635,168.32325,-2.96800000000002,1188.02188145775,-287.378118542255,2,188.021881457746,1,-311.978118542254,1,-1011.97811854225,1,1188.02188145775,0
-233,330.894,9.173,277.553,-898.913,-0.464,168.3805,-2.96800000000007,1188.02188145777,-287.378118542232,2,188.021881457768,1,-311.978118542232,1,-1011.97811854223,1,1188.02188145777,0
-232.5,329.7865,9.2305,276.069,-897.3535,-0.4645,168.43775,-2.96800000000002,1188.02188145775,-287.378118542255,2,188.021881457746,1,-311.978118542254,1,-1011.97811854225,1,1188.02188145775,0
-232,328.679,9.288,274.585,-895.794,-0.465,168.495,-2.97174999999999,1189.52291988612,-285.877080113875,2,189.522919886125,1,-310.477080113875,1,-1010.47708011388,1,1189.52291988612,0
-231.5,327.5785,9.346,273.09725,-894.227,-0.46525,168.5525,-2.97549999999995,1191.0239583145,-284.376041685497,2,191.023958314503,1,-308.976041685497,1,-1008.9760416855,1,1191.0239583145,0
-231,326.478,9.404,271.6095,-892.66,-0.4655,168.61,-2.97549999999995,1191.0239583145,-284.376041685497,2,191.023958314503,1,-308.976041685497,1,-1008.9760416855,1,1191.0239583145,0
-230.5,325.3775,9.462,270.12175,-891.093,-0.46575,168.6675,-2.97550000000001,1191.02395831453,-284.376041685474,2,191.023958314526,1,-308.976041685474,1,-1008.97604168547,1,1191.02395831453,0
-230,324.277,9.52,268.634,-889.526,-0.466,168.725,-2.97874999999999,1192.32485828579,-283.075141714209,2,192.324858285791,1,-307.675141714209,1,-1007.67514171421,1,1192.32485828579,0
-229.5,323.18325,9.57825,267.143,-887.95175,-0.46625,168.78275,-2.98199999999997,1193.62575825706,-281.774241742944,2,193.625758257056,1,-306.374241742944,1,-1006.37424174294,1,1193.62575825706,-0
-229,322.0895,9.6365,265.652,-886.3775,-0.4665,168.8405,-2.98200000000003,1193.62575825708,-281.774241742921,2,193.625758257079,1,-306.374241742921,1,-1006.37424174292,1,1193.62575825708,-0
-228.5,320.99575,9.69475,264.161,-884.80325,-0.46675,168.89825,-2.98200000000003,1193.62575825708,-281.774241742921,2,193.625758257079,1,-306.374241742921,1,-1006.37424174292,1,1193.62575825708,-0
-228,319.902,9.753,262.67,-883.229,-0.467,168.956,-2.98500000000001,1194.82658899979,-280.573411000214,2,194.826588999786,1,-305.173411000214,1,-1005.17341100021,1,1194.82658899979,-0
-227.5,318.81525,9.8115,261.176,-881.6475,-0.4675,169.014,-2.988,1196.02741974249,-279.372580257506,2,196.027419742494,1,-303.972580257506,1,-1003.97258025751,1,1196.02741974249,-0
-227,317.7285,9.87,259.682,-880.066,-0.468,169.072,-2.98799999999994,1196.02741974247,-279.372580257529,2,196.027419742471,1,-303.972580257529,1,-1003.97258025753,1,1196.02741974247,-0
-226.5,316.64175,9.9285,258.188,-878.4845,-0.4685,169.13,-2.988,1196.02741974249,-279.372580257506,2,196.027419742494,1,-303.972580257506,1,-1003.97258025751,1,1196.02741974249,-0
-226,315.555,9.987,256.694,-876.903,-0.469,169.188,-2.99075000000002,1197.12818125666,-278.271818743344,2,197.128181256656,1,-302.871818743344,1,-1002.87181874334,1,1197.12818125666,0
-225.5,314.47525,10.046,255.19725,-875.314,-0.46925,169.24625,-2.99350000000001,1198.22894277081,-277.171057229193,2,198.228942770807,1,-301.771057229193,1,-1001.77105722919,1,1198.22894277081,0
-225,313.3955,10.105,253.7005,-873.725,-0.4695,169.3045,-2.99350000000001,1198.22894277081,-277.171057229193,2,198.228942770807,1,-301.771057229193,1,-1001.77105722919,1,1198.22894277081,0
-224.5,312.31575,10.164,252.20375,-872.136,-0.46975,169.36275,-2.99350000000001,1198.22894277081,-277.171057229193,2,198.228942770807,1,-301.771057229193,1,-1001.77105722919,1,1198.22894277081,0
-224,311.236,10.223,250.707,-870.547,-0.47,169.421,-2.99575000000002,1199.12956582784,-276.270434172157,2,199.129565827843,1,-300.870434172157,1,-1000.87043417216,1,1199.12956582784,0
-223.5,310.16325,10.282,249.208,-868.9505,-0.4705,169.47975,-2.99799999999999,1200.03018888487,-275.369811115132,2,200.030188884868,1,-299.969811115132,1,-999.969811115132,1,1200.03018888487,0
-223,309.0905,10.341,247.709,-867.354,-0.471,169.5385,-2.99799999999999,1200.03018888487,-275.369811115132,2,200.030188884868,1,-299.969811115132,1,-999.969811115132,1,1200.03018888487,0
-222.5,308.01775,10.4,246.21,-865.7575,-0.4715,169.59725,-2.99799999999999,1200.03018888487,-275.369811115132,2,200.030188884868,1,-299.969811115132,1,-999.969811115132,1,1200.03018888487,0
-222,306.945,10.459,244.711,-864.161,-0.472,169.656,-3,1200.83074271335,-274.569257286652,2,200.830742713347,1,-299.169257286653,1,-999.169257286652,1,1200.83074271335,-0
-221.5,305.87925,10.51825,243.21,-862.557,-0.47225,169.71475,-3.00200000000001,1201.63129654183,-273.768703458173,2,201.631296541827,1,-298.368703458173,1,-998.368703458173,1,1201.63129654183,0
-221,304.8135,10.5775,241.709,-860.953,-0.4725,169.7735,-3.00200000000001,1201.63129654183,-273.768703458173,2,201.631296541827,1,-298.368703458173,1,-998.368703458173,1,1201.63129654183,0
