x_km,target_y_km,surface_height_m,upper_ice_layer_depth_m,briny_warm_ice_lens_depth_m,briny_warm_ice_lens_strength_0to1,ice_ocean_boundary_depth_m,ice_ocean_boundary_elevation_m,upper_ice_layer_delay_us,briny_warm_ice_lens_delay_us,ice_ocean_boundary_delay_us,upper_ice_layer_echo_db,briny_warm_ice_lens_echo_db,ice_ocean_boundary_echo_db
-60.0,25.0,119.42638570504096,946.6774955196126,5589.043116114486,0.0014571201453582399,14538.343476908214,-14418.917091203173,11.2416833516533,66.36922631778673,172.64111019695247,-11.704019491935302,-34.04716352769785,-32.21139578190302
-59.5,25.0,110.69606493723512,946.3905767770618,5595.347969399308,0.0017423102885695018,14548.766391190573,-14438.070326253337,11.238276225502444,66.4440957052413,172.7648810719529,-11.703503038198711,-34.05594555232163,-32.21655696391954
-59.0,25.0,112.99219424849355,948.3058623908514,5600.913069660687,0.0020781165622737407,14557.33823698979,-14444.346042741296,11.26102001575847,66.51018061298943,172.8666707275326,-11.706950552303532,-34.06294047632878,-32.25443477314056
-58.5,25.0,134.3858310571132,952.7851094276065,5605.728230978824,0.0024724559900891306,14562.907070815563,-14428.52123975845,11.31421054482391,66.56736008443752,172.93279997091656,-11.715013196969691,-34.06805871185108,-32.22431011584363
-58.0,25.0,120.06952906780961,957.6515045223966,5609.784099285287,0.002934279637824933,14573.125618242737,-14453.056089174926,11.371998411313378,66.61552304112874,173.05414401367008,-11.723772708140315,-34.07120286197309,-32.319063633515114
-57.5,25.0,138.90151425445745,965.650678394155,5613.072139305129,0.003473671086050251,14578.335140524403,-14439.433626269945,11.466987655450598,66.65456812768204,173.1160064749423,-11.738171221109479,-34.07226681097478,-32.278281330255496
-57.0,25.0,137.46604725484156,974.6127644014157,5615.584619153291,0.004101948007251427,14585.997030216358,-14448.530982961516,11.573411367370154,66.68440352887636,173.20699050931506,-11.754302975922549,-34.07113478241066,-32.33325534041793
-56.5,25.0,141.45582449409375,985.5077447582476,5617.314592830874,0.004831765769462065,14592.499316370247,-14451.043491876153,11.702787971201602,66.70494676179582,173.2842043887511,-11.773913940564846,-34.06768037517041,-32.361169239664356
-56.0,25.0,167.11523893481203,998.9036394936348,5618.255880926359,0.00567722175025564,14595.55464426455,-14428.439405329738,11.861862637642938,66.71612444665915,173.32048604632274,-11.798026551088542,-34.06176558991515,-32.28510521916492
-55.5,25.0,160.57943103446084,1012.540930285338,5618.403049889946,0.006653958791894301,14602.692839300287,-14442.113408265826,12.023803853717373,66.71787206070476,173.40525126855934,-11.822573674513608,-34.05323986067485,-32.36628367374324
-55.0,25.0,176.10976359434375,1028.4632321594481,5617.751390315144,0.00777926596365537,14606.307966267494,-14430.19820267315,12.212879306282066,66.71013368028729,173.44818047394736,-11.851233817887007,-34.04193910889436,-32.34021986290472
-54.5,25.0,194.40953580826846,1045.7515462573372,5616.29689472948,0.0090721745252693,14609.094149774912,-14414.684613966643,12.418175992526537,66.69286171714484,173.48126607374053,-11.882352783263206,-34.027684839785636,-32.29872620955118
-54.0,25.0,196.39629745562698,1063.4771219823376,5614.036235464312,0.01055354671133019,14613.717465260237,-14417.32116780461,12.628665108903848,66.66601665560563,173.5361673986023,-11.914258819568207,-34.010283303433795,-32.33552945029404
-53.5,25.0,215.04504497494062,1082.7774674188672,5610.966743240949,0.012246154686801397,14615.557901101563,-14400.512856126623,12.857854429450548,66.62956679830077,173.55802235665837,-11.948999441353962,-33.989524745652496,-32.324885826603236
-53.0,25.0,220.27863667842527,1102.254523465439,5607.086387174617,0.014174746765614449,14618.824704591409,-14398.546067912983,13.08914216760237,66.58348802871365,173.59681526192836,-11.98405814223779,-33.96518277602378,-32.31980815652911
-52.5,25.0,228.48571186718385,1122.3581700344503,5602.393756957393,0.01636609774605335,14621.223871899127,-14392.738160031942,13.327870594138306,66.52776359960436,173.6253050900997,-12.02024470606201,-33.93701388280883,-32.32732348905003
-52.0,25.0,241.24392327938918,1142.9381294460443,5596.888048033917,0.018849040007151784,14622.536888707544,-14381.292965428154,13.572255179374519,66.46238395697314,173.64089700948665,-12.05728863300288,-33.90475712639669,-32.35797666985547
-51.5,25.0,261.3961473371179,1163.8901229859418,5590.5690506271,0.021654471839431727,14622.37004851927,-14360.973901182151,13.82105762590583,66.38734660974185,173.63891580197324,-12.095002221374695,-33.86813404457389,-32.42421117975834
-51.0,25.0,251.96732827517536,1183.515733819102,5583.437143502679,0.02481533936122231,14625.906076815863,-14373.938748540688,14.054109434587588,66.30265605570884,173.68090571999807,-12.130328320874384,-33.826848804053824,-32.36292961133974
-50.5,25.0,249.72786812719846,1203.0681582051066,5575.493293378915,0.028366588309059755,14628.005233442198,-14378.277365315,14.286292162860812,66.20832377453918,173.70583295679248,-12.165522684769192,-33.78058863330051,-32.336144508782866
-50.0,25.0,273.71504099052385,1223.0962491259836,5566.739060888317,0.03234508199786936,14626.012286300014,-14352.29724530949,14.524123375006658,66.10436829855944,173.6821669450672,-12.20157324842677,-33.72902457161815,-32.430966926254925
-49.5,25.0,258.91748425640003,1240.79499991252,5557.17661397957,0.03678948183408114,14629.040649051145,-14370.123164794744,14.73429394841071,65.99081537190395,173.71812839475126,-12.233430999842536,-33.67181256865649,-32.360564437326055
-49.0,25.0,268.79279662092654,1258.5092160335146,5546.808749607553,0.04174008694223705,14628.219878746677,-14359.42708212575,14.944648170833277,65.86769820808131,173.70838184440973,-12.265316588860326,-33.60859496681346,-32.406517589914834
-48.5,25.0,265.4824606971452,1274.5448931869,5535.638924495328,0.0472386297417321,14628.865542990872,-14363.383082293727,15.135069941437166,65.73505785526922,173.71604903098498,-12.29418080773642,-33.539002396416,-32.39838865249866
-48.0,25.0,253.6370227527636,1288.9247717898286,5523.6712956624315,0.053328024692427034,14630.343646203193,-14376.70662345043,15.305829299987893,65.5929436775833,173.73360133190332,-12.320064589221692,-33.462656109960534,-32.35553310228006
-47.5,25.0,262.75484348528926,1302.684157443885,5510.910771297527,0.06005206792152438,14628.543151160482,-14365.788307675193,15.469220378119823,65.44141395918372,173.71222066610935,-12.344831483398993,-33.37917077704183,-32.40298790567201
-47.0,25.0,253.9148101975453,1314.1421850088657,5497.363072409545,0.06745508605265516,14628.93334131051,-14375.018531112964,15.605283100989693,65.28053663637522,173.7168541280162,-12.365455933015959,-33.28815775586328,-32.386101380900456
-46.5,25.0,253.748238320312,1324.2623031045134,5483.034805519655,0.0755815332823163,14627.807692098573,-14374.059453778262,15.725458307066775,65.11039016081575,173.7034871766885,-12.383672145588124,-33.18922885039453,-32.40326372198696
-46.0,25.0,237.40469511010875,1331.9721423160381,5467.933546457481,0.08447553658641699,14628.668588877104,-14391.263893766996,15.817011736316248,64.93106449458655,173.7137102241661,-12.397549856168869,-33.08200055434571,-32.35267809880934
-45.5,25.0,230.03534200748854,1338.2236916497875,5452.067935099958,0.09418038988521,14628.019588067556,-14397.984246060068,15.891248145652963,64.7426622352049,173.70600341627176,-12.408802644969619,-32.96609877421304,-32.34659071411098
-45.0,25.0,208.8220272535724,1342.0749002532702,5435.447780642543,0.10473799903926095,14629.081269338794,-14420.259242085222,15.93698079256431,64.54529986570726,173.71861075586534,-12.415734820455887,-32.84116401380323,-32.389565198948695
-44.5,25.0,201.66422960156285,1344.6371834555257,5418.084176723001,0.11618828067955557,14627.974984883302,-14426.310755281738,15.967407602701172,64.33910912173076,173.7054737587313,-12.420346930219946,-32.706856991985404,-32.39806207678552
-44.0,25.0,200.11672258234324,1345.5925502759046,5399.989625431864,0.12856851907478206,14625.911504274929,-14425.794781692586,15.978752470758357,64.12423846412253,173.6809701704329,-12.422066590496629,-32.56286465410432,-32.38181184778575
-43.5,25.0,210.8483953416035,1345.2511794984607,5381.1781689455565,0.14191268648789712,14621.986694083294,-14411.138298741691,15.974698733129973,63.90085464206769,173.63436351336273,-12.421452123097229,-32.40890652571093,-32.32891382526778
-43.0,25.0,180.5581841932563,1341.5468992266901,5361.6655272140915,0.15625073374829715,14623.693198890638,-14443.135014697382,15.93071084278917,63.66914432811438,173.65462805622238,-12.414784418608043,-32.24474134525069,-32.42896356229874
-42.5,25.0,181.7291755177202,1337.4658358603704,5341.4692398315265,0.17160785903794926,14620.914775457457,-14439.185599939738,15.882248697740483,63.42931580286864,173.62163460639343,-12.407438504548667,-32.0701739003552,-32.40575266541106
-42.0,25.0,170.6281729970239,1331.3645540494879,5320.608809921433,0.18800376412943393,14619.806259259829,-14449.178086262806,15.809796697474546,63.18160066361744,173.60847110758536,-12.396456197289078,-31.885061980693674,-32.43918615973353
-41.5,25.0,171.38557913738282,1324.3311172125034,5299.105847589162,0.20545190848839293,14617.02228465411,-14445.636705516727,15.726275466464578,62.926255527807236,173.5754117382387,-12.383796010982506,-31.689323349264956,-32.429608392618036
-41.0,25.0,176.66624192778235,1316.2095353260072,5276.984210236083,0.22395877272807038,14613.623267805096,-14436.957025877315,15.62983264162231,62.663563699259086,173.53504881495766,-12.369177163586812,-31.48294262387232,-32.399446020276
-40.5,25.0,191.24651788741608,1307.3402550301464,5254.27013680646,0.24352314384431997,14608.974517462988,-14417.727999575573,15.52451098655498,62.393836762334416,173.4798454541783,-12.353212459054264,-31.26597795165275,-32.337987908327015
-40.0,25.0,197.66557297517377,1297.1834613829674,5230.9923728538715,0.26413543543053436,14605.554950848265,-14407.88937787309,15.403900262638906,62.11741606708393,173.43923850485868,-12.334930230489341,-31.03856735226216,-32.32011449279664
-39.5,25.0,200.98178735327417,1286.1064769535044,5207.182283178962,0.2857770566394118,14602.691093675494,-14401.70930632222,15.27236238195984,61.8346740668076,173.4052305394713,-12.314991658516309,-30.800934599967427,-32.32093628470638
-39.0,25.0,184.54420924136062,1273.6117087392167,5182.873948711796,0.3084198439904323,14602.748972256197,-14418.204763014835,15.123988486433543,61.54601546852122,173.40591784077523,-12.29250107573059,-30.553394511767344,-32.41307462543307
-38.5,25.0,211.63430992610967,1262.3994063143111,5158.104244296719,0.33202557018976875,14596.904162667912,-14385.269852741802,14.990843720554663,61.25187815664235,173.33651141783483,-12.27231893136576,-30.296357508026176,-32.31377721196157
-38.0,25.0,202.93658014849487,1249.463625801307,5132.9128940915125,0.35654554390882975,14596.295801636577,-14393.359221488083,14.837232856113587,60.95273385084885,173.32928720250268,-12.249034526442353,-30.030333314185256,-32.38762130931221
-37.5,25.0,239.1871485288169,1238.1954185553416,5107.342501420047,0.3819203139399223,14589.655674119578,-14350.46852559076,14.703424227093187,60.649088460575506,173.25043647317403,-12.228751753399616,-29.755933677096785,-32.27170581722869
-37.0,25.0,236.18872035541293,1225.380825883585,5081.438550121767,0.4080794903002025,14588.806016104165,-14352.617295748752,14.551252453941196,60.34148210103901,173.2403468846799,-12.205685486590454,-29.473873977517357,-32.30735023037133
-36.5,25.0,264.8535608975177,1214.0001949726325,5055.24937472324,0.4349416936830342,14583.853391519191,-14318.999830621673,14.416108807188776,60.030488739028705,173.18153505318776,-12.185200350950739,-29.184973631354524,-32.289014876787824
-36.0,25.0,273.24610443212225,1202.1077214470538,5028.826097116104,0.4624146431619742,14582.102622173152,-14308.85651774103,14.274887089893074,59.716715440964606,173.16074487416364,-12.163793898604697,-28.89015518635122,-32.28556786280975
-35.5,25.0,284.9525044866856,1190.7643485527458,5002.222527859245,0.49039539024822354,14580.284946826378,-14295.332442339692,14.140185877684006,59.400801200872486,173.13916019428981,-12.143375827394943,-28.59044203791263,-32.29498426799288
-35.0,25.0,280.71344003936963,1179.3015074463235,4975.495030726145,0.5187707053077272,14581.129325609469,-14300.415885570099,14.004065994578529,59.08341533189964,173.14918709252422,-12.122742713403383,-28.286954707537518,-32.254223245341564
-34.5,25.0,316.31487804948046,1170.0355124387281,4948.702349684009,0.5474176199882153,14576.857632008794,-14260.542753959313,13.894033399205368,58.76525541171243,173.09846123597714,-12.10606392238971,-27.980905649537284,-32.35263200847161
-34.0,25.0,319.41525492664545,1160.139769010444,4921.90539811054,0.5762041267270106,14577.628747923234,-14258.213492996589,13.776522615779685,58.44704477947048,173.10761814630678,-12.0882515842188,-27.673592576055874,-32.33596634649621
-33.5,25.0,328.4448057508986,1151.2002362045403,4895.167010716071,0.6049900336531705,14578.092560023488,-14249.64775427259,13.670366720460203,58.12952958993122,173.11312586016965,-12.072160425168173,-27.366390316410396,-32.346280022611786
-33.0,25.0,342.0571204684842,1143.1933519509057,4868.551659330447,0.6336279703155745,14578.466646582594,-14236.40952611411,13.575285916449653,57.813475438452805,173.1175680938379,-12.05774803351163,-27.060741253954635,-32.38548925127135
-32.5,25.0,350.9183412247295,1135.757836125959,4842.125134421267,0.6619645367212721,14580.08569704939,-14229.16735582466,13.48699004498777,57.49966357906079,173.13679412674162,-12.044364105026727,-26.758144411466834,-32.41021524800949
-32.0,25.0,340.91681406553505,1128.3236750252931,4815.954194917552,0.6898415852200698,14584.952070760557,-14244.035256695022,13.398710260716578,57.18888676614568,173.19458173930306,-12.030982615045527,-26.46014328387097,-32.36158331902681
-31.5,25.0,355.15219987006986,1122.5926316922603,4790.106189604217,0.7170976218896598,14587.057234351585,-14231.905034481515,13.330654798608865,56.88194475856699,173.21958030809316,-12.020666737046069,-26.168312544280653,-32.425096082512
-31.0,25.0,353.2610093246909,1116.9125383628445,4764.648654011315,0.7435693113299406,14592.076103026691,-14238.815093702,13.26320436177126,56.57963953276062,173.27917878032483,-12.01044256905312,-25.8842437752509,-32.425398478847605
