metric,value
altitude_km,25.0
target_depth_km,6.0
ice_index,1.78
speed_km_s,4.6
wavelength_m,5.0
max_usable_prf_hz,3000.0
pulse_us,200.0
guard_us,5.0
dead_time_us,10.0
two_way_target_time_us,238.0313383334013
listen_window_us,453.0313383334013
pulse_limited_prf_hz,2207.3528151027504
effective_prf_hz,2207.3528151027504
one_way_optical_path_m,35680.0
surface_offset_km,25.457069744964755
look_angle_deg,45.51900459501648
same_delay_doppler_hz,1312.808529448855
alias_starts_below_prf_hz,2625.61705889771
first_zero_overlap_prf_hz,1312.808529448855
current_prf_hz,2207.3528151027504
current_same_delay_alias_hz,-894.5442856538953
