column,method_code,method,problem_score,low_signal_z,stripe_z,neighbor_z,texture_z,surface_jitter_z
0,1,small pool,0.888408,0.167039,0.313662,0.000000,1.745759,2.973888
1,1,small pool,0.917773,0.000000,1.487946,1.408742,1.756732,4.402581
2,1,small pool,1.000255,0.000000,1.211675,3.398852,2.170905,2.336187
3,1,small pool,0.981605,0.424349,1.280203,2.329498,1.940311,4.488424
4,1,small pool,0.980914,0.000000,0.842783,0.814517,0.586920,4.004019
5,1,small pool,0.925588,0.000000,0.704721,2.106454,1.555999,4.286073
6,0,keep/sharp,0.777766,0.257141,0.228253,0.328450,0.000000,3.096523
7,0,keep/sharp,0.627572,0.323599,0.370741,0.703866,0.014129,2.642775
8,0,keep/sharp,0.564432,0.519037,1.158779,0.841376,0.044598,2.189027
9,0,keep/sharp,0.486806,0.377433,0.466619,0.346900,0.152479,2.268739
10,0,keep/sharp,0.515570,0.564962,0.472458,0.000000,0.298792,1.814992
11,0,keep/sharp,0.488653,0.217387,0.108255,0.273960,0.000000,2.201290
12,0,keep/sharp,0.432998,0.171326,0.311066,0.638837,1.239570,2.047998
13,0,keep/sharp,0.460785,0.489809,1.017181,0.000000,0.163638,1.888571
14,0,keep/sharp,0.473896,0.640903,0.114524,0.000000,0.681206,0.055186
15,0,keep/sharp,0.538364,0.450556,0.825206,0.000000,0.285587,0.000000
16,0,keep/sharp,0.532454,0.706572,1.033361,0.000000,0.186342,2.115445
17,0,keep/sharp,0.535428,0.961129,0.559477,0.099638,0.291659,0.312719
18,0,keep/sharp,0.563488,0.692938,1.279456,0.000000,0.199133,1.839518
19,0,keep/sharp,0.586470,0.583693,0.720106,0.000000,0.129174,1.686224
20,0,keep/sharp,0.559185,0.826883,0.940727,0.000000,0.478845,0.000000
21,0,keep/sharp,0.552651,0.772297,0.514922,0.000000,0.431428,1.312191
22,0,keep/sharp,0.505880,0.748082,0.922978,0.209777,0.245258,0.000000
23,0,keep/sharp,0.514205,0.731826,0.537634,0.000000,0.335918,0.858443
24,0,keep/sharp,0.481216,0.859344,0.500468,0.000000,0.349383,0.674491
25,0,keep/sharp,0.496253,0.665462,0.408256,0.000000,0.267857,0.692887
26,0,keep/sharp,0.500570,0.402649,1.134773,0.000000,0.698798,0.000000
27,0,keep/sharp,0.509501,0.688792,0.371193,0.000000,0.370974,0.000000
28,0,keep/sharp,0.524314,0.727502,1.142414,0.000000,0.346290,0.000000
29,0,keep/sharp,0.537560,0.685596,0.823271,0.605636,0.185142,0.000000
30,0,keep/sharp,0.496704,0.659940,0.985129,0.000000,0.238279,0.000000
31,0,keep/sharp,0.487946,0.793778,1.026278,0.000000,0.300056,0.000000
32,0,keep/sharp,0.480687,0.731773,0.507327,0.000000,0.383828,1.257003
33,0,keep/sharp,0.452132,0.531789,0.035152,0.000000,0.531864,0.723544
34,0,keep/sharp,0.445497,0.699470,0.154141,0.000000,0.215280,0.429221
35,0,keep/sharp,0.422771,0.830948,0.738829,0.000000,0.706846,0.000000
36,0,keep/sharp,0.453223,0.767873,0.083260,0.000000,0.239718,2.630512
37,0,keep/sharp,0.544146,0.562389,0.642852,0.000000,0.113196,2.078655
38,0,keep/sharp,0.551304,0.957799,0.054529,0.000000,0.326109,1.796594
39,0,keep/sharp,0.555073,1.015898,0.985922,0.000000,0.290162,1.073051
40,0,keep/sharp,0.525353,0.895261,1.698170,0.000000,0.605312,0.784861
41,0,keep/sharp,0.525342,0.783125,0.238570,0.000000,0.287379,0.233005
42,0,keep/sharp,0.529922,0.852853,0.940126,0.000000,0.351895,0.000002
43,0,keep/sharp,0.471633,0.592507,0.007710,0.000000,0.235672,0.000000
44,0,keep/sharp,0.413678,1.009042,0.400359,0.000000,0.376069,0.269796
45,0,keep/sharp,0.448739,0.906612,0.509612,0.000000,0.294182,0.000000
46,0,keep/sharp,0.460881,0.687535,0.081530,0.157691,0.205224,0.000000
47,0,keep/sharp,0.477706,0.668071,0.858820,0.000000,0.267519,0.049055
48,0,keep/sharp,0.469350,0.852314,0.676689,0.511792,0.186627,0.000000
49,0,keep/sharp,0.471773,0.829579,1.250517,0.000000,0.316518,0.000000
50,0,keep/sharp,0.483957,0.561096,0.406915,0.000000,0.264369,0.000000
51,0,keep/sharp,0.495360,0.761544,0.484786,0.000000,0.401665,0.000000
52,0,keep/sharp,0.454605,0.636844,0.904042,0.000000,0.091055,0.000000
53,0,keep/sharp,0.410509,0.926946,0.202451,0.000000,0.294095,0.000000
54,0,keep/sharp,0.404935,0.770935,1.063108,0.000000,0.168277,0.000000
55,0,keep/sharp,0.385474,0.576173,0.245785,0.000000,0.244429,0.735806
56,0,keep/sharp,0.348712,0.492044,0.328277,0.000000,0.853033,0.282060
57,0,keep/sharp,0.347071,0.515701,0.169959,0.000000,0.304595,0.864573
58,0,keep/sharp,0.305871,0.502011,0.001424,0.033075,0.873418,0.551856
59,0,keep/sharp,0.311549,0.334898,0.366768,0.000000,0.089386,0.000000
60,0,keep/sharp,0.304452,0.742395,0.262249,0.000000,0.505275,0.000000
61,0,keep/sharp,0.349734,0.537423,0.345626,0.000000,0.202217,0.000000
62,0,keep/sharp,0.353726,0.477971,0.645603,0.000000,0.094882,0.000000
63,0,keep/sharp,0.392439,0.564659,0.005497,0.034508,0.259093,2.127707
64,0,keep/sharp,0.421635,0.441456,0.884004,0.777293,0.222227,0.000000
65,0,keep/sharp,0.468324,0.716328,0.152472,0.000000,0.470851,0.000000
66,0,keep/sharp,0.515164,0.740923,0.131348,0.000000,0.229016,4.108256
67,0,keep/sharp,0.539573,0.667189,0.435146,0.000000,0.225197,4.138915
68,0,keep/sharp,0.546469,0.772347,0.942852,0.000000,0.253914,1.299927
69,0,keep/sharp,0.566278,0.359640,1.121246,0.000000,0.164691,4.151180
70,0,keep/sharp,0.568782,0.565735,0.156684,0.000000,0.376951,4.470028
71,0,keep/sharp,0.561252,0.611522,0.675501,0.000000,0.313268,4.439367
72,0,keep/sharp,0.545934,0.459283,0.300139,0.000000,0.265194,3.893645
73,0,keep/sharp,0.499789,0.627210,0.364559,0.000000,0.251061,3.642243
74,0,keep/sharp,0.496045,0.216034,0.979378,0.000000,0.151710,2.593718
75,0,keep/sharp,0.478610,0.293033,0.775550,0.357826,0.125349,1.802726
76,0,keep/sharp,0.509051,0.445287,0.517857,0.000000,0.128183,1.005602
77,0,keep/sharp,0.535803,0.162459,1.084336,0.197419,0.079259,0.459881
78,0,keep/sharp,0.605350,0.369358,1.301647,0.000000,0.054631,0.190084
79,0,keep/sharp,0.591315,0.424024,0.385663,0.000000,0.197139,9.780099
80,0,keep/sharp,0.615245,0.424866,0.465218,0.002492,0.237121,10.331955
81,0,keep/sharp,0.579008,0.220630,0.260254,1.439151,1.163839,10.056028
