start_col,end_col_exclusive,dominant_method_code,dominant_method,median_problem_score,p90_problem_score,keep/sharp_cols,small pool_cols,wide pool_cols,muted/repaired_cols
0,160,0,keep/sharp,0.44581007957458496,0.5693251490592957,154,6,0,0
160,320,0,keep/sharp,0.521774411201477,0.7202702164649963,156,4,0,0
320,480,0,keep/sharp,0.5291866064071655,0.8330649137496948,145,15,0,0
480,640,0,keep/sharp,0.521006166934967,0.6739033460617065,160,0,0,0
640,800,0,keep/sharp,0.36426103115081787,0.45703864097595215,160,0,0,0
800,960,0,keep/sharp,0.45903241634368896,0.6377214789390564,160,0,0,0
960,1120,0,keep/sharp,0.3828589618206024,0.47410136461257935,160,0,0,0
1120,1280,0,keep/sharp,0.3813149631023407,0.46595317125320435,160,0,0,0
1280,1440,0,keep/sharp,0.3938136696815491,0.5741831064224243,160,0,0,0
1440,1600,0,keep/sharp,0.3254534602165222,0.4429878294467926,160,0,0,0
1600,1760,0,keep/sharp,0.3700838088989258,0.4728783369064331,160,0,0,0
1760,1920,0,keep/sharp,0.365756630897522,0.4350523352622986,160,0,0,0
1920,2080,0,keep/sharp,0.6133885979652405,1.0887352228164673,119,41,0,0
2080,2240,1,small pool,1.081154704093933,1.4412896633148193,37,107,2,14
2240,2400,1,small pool,0.8986932635307312,1.432026743888855,68,77,3,12
2400,2560,0,keep/sharp,0.7844076156616211,1.056321144104004,104,56,0,0
2560,2720,1,small pool,0.9690879583358765,1.3291120529174805,63,89,3,5
2720,2880,0,keep/sharp,0.8486912250518799,1.192081093788147,81,73,2,4
2880,3040,0,keep/sharp,0.7505021095275879,0.9210215210914612,114,46,0,0
3040,3200,0,keep/sharp,0.8370180726051331,1.1869696378707886,85,75,0,0
3200,3360,0,keep/sharp,0.8383872509002686,1.2417616844177246,82,70,2,6
3360,3520,0,keep/sharp,0.5908510684967041,0.789625346660614,152,8,0,0
3520,3680,0,keep/sharp,0.6765250563621521,1.0604852437973022,105,55,0,0
3680,3840,0,keep/sharp,0.5797433853149414,1.080291748046875,128,32,0,0
3840,4000,0,keep/sharp,0.5265179872512817,0.7233322858810425,157,3,0,0
4000,4160,0,keep/sharp,0.4222538471221924,0.5086162090301514,160,0,0,0
4160,4320,0,keep/sharp,0.4194001257419586,0.48229995369911194,160,0,0,0
4320,4480,0,keep/sharp,0.41129547357559204,0.49898961186408997,160,0,0,0
4480,4640,0,keep/sharp,0.4281771779060364,0.5385551452636719,160,0,0,0
4640,4719,0,keep/sharp,0.4422960877418518,0.8787524700164795,70,9,0,0
