offset_line_below_nadir,approx_free_space_range_below_nadir_m,surface_along_track_offset_km,surface_doppler_hz,folded_doppler_hz,inside_center_doppler_band
0,0.0,0.0,0.0,0.0,True
1,15.0,3.0813190937042236,4.369148254394531,4.369148254394531,False
2,30.0,4.358583450317383,6.179948806762695,6.1799468994140625,False
3,45.0,5.337769031524658,7.567958831787109,7.567958831787109,False
4,60.0,6.163967609405518,8.738940238952637,8.738941192626953,False
5,75.0,6.891228199005127,9.769546508789062,9.769546508789062,False
6,90.0,7.549287796020508,10.701957702636719,10.701957702636719,False
7,105.0,8.154413223266602,11.559243202209473,11.559242248535156,False
8,120.0,8.717166900634766,12.356385231018066,12.35638427734375,False
9,135.0,9.246172904968262,13.105619430541992,13.105621337890625,False
10,150.0,9.746508598327637,13.814146041870117,13.81414794921875,False
11,165.0,10.222384452819824,14.48793888092041,14.487937927246094,False
12,180.0,10.677072525024414,15.131640434265137,15.131641387939453,False
13,195.0,11.113171577453613,15.748939514160156,15.748939514160156,False
14,210.0,11.532793045043945,16.34282684326172,16.34282684326172,False
15,225.0,11.93767261505127,16.915769577026367,16.915771484375,False
16,240.0,12.329263687133789,17.469831466674805,17.469833374023438,False
17,255.0,12.70911693572998,18.0072078704834,18.00720977783203,False
18,270.0,13.077629089355469,18.52846336364746,18.528465270996094,False
19,285.0,13.436037063598633,19.035358428955078,19.035358428955078,False
20,300.0,13.785428047180176,19.529428482055664,19.52942657470703,False
21,315.0,14.12588882446289,20.01080322265625,20.01080322265625,False
22,330.0,14.4586181640625,20.48118019104004,20.481178283691406,False
23,345.0,14.783583641052246,20.940515518188477,20.940513610839844,False
24,360.0,15.10183048248291,21.390289306640625,21.390289306640625,False
25,375.0,15.413506507873535,21.830718994140625,21.830718994140625,False
26,390.0,15.718744277954102,22.261981964111328,22.261978149414062,False
27,405.0,16.018421173095703,22.685333251953125,22.685333251953125,False
28,420.0,16.31259536743164,23.100847244262695,23.100845336914062,False
29,435.0,16.60155487060547,23.508943557739258,23.508941650390625,False
30,450.0,16.88557243347168,23.90999984741211,23.910003662109375,False
31,465.0,17.16489028930664,24.304365158081055,24.304367065429688,False
32,480.0,17.439735412597656,24.69236183166504,24.692359924316406,False
33,495.0,17.710315704345703,25.07427978515625,25.07427978515625,False
34,510.0,17.976823806762695,25.450395584106445,25.450393676757812,False
35,525.0,18.239439010620117,25.82097053527832,25.820968627929688,False
36,540.0,18.498546600341797,26.186540603637695,26.186538696289062,False
37,555.0,18.753856658935547,26.546701431274414,26.54669952392578,False
38,570.0,19.005735397338867,26.901975631713867,26.9019775390625,False
39,585.0,19.254535675048828,27.252849578857422,27.252853393554688,False
40,600.0,19.499950408935547,27.598905563354492,27.598907470703125,False
41,615.0,19.742521286010742,27.94090461730957,27.940902709960938,False
42,630.0,19.982149124145508,28.27869987487793,28.278701782226562,False
43,645.0,20.218734741210938,28.612163543701172,28.612167358398438,False
44,660.0,20.452781677246094,28.941999435424805,28.942001342773438,False
45,675.0,20.684181213378906,29.26806640625,29.26806640625,False
46,690.0,20.913021087646484,29.59047508239746,29.590476989746094,False
47,705.0,21.139385223388672,29.909347534179688,29.909347534179688,False
48,720.0,21.36334991455078,30.22479820251465,30.22480010986328,False
49,735.0,21.584989547729492,30.536930084228516,30.53692626953125,False
50,750.0,21.804378509521484,30.84584617614746,30.845848083496094,False
51,765.0,22.02157974243164,31.151643753051758,31.151641845703125,False
52,780.0,22.236661911010742,31.454410552978516,31.45440673828125,False
53,795.0,22.449682235717773,31.754230499267578,31.754226684570312,False
54,810.0,22.66069984436035,32.05119705200195,32.05119323730469,False
55,825.0,22.869951248168945,32.34563064575195,32.34562683105469,False
56,840.0,23.077125549316406,32.6370964050293,32.63710021972656,False
57,855.0,23.28263282775879,32.926185607910156,32.926185607910156,False
58,870.0,23.486167907714844,33.21245574951172,33.21245574951172,False
59,885.0,23.688129425048828,33.49646759033203,33.49646759033203,False
60,900.0,23.888208389282227,33.77779769897461,33.777801513671875,False
61,915.0,24.0867977142334,34.0569953918457,34.05699157714844,False
62,930.0,24.283761978149414,34.333866119384766,34.3338623046875,False
63,945.0,24.478975296020508,34.60823059082031,34.60823059082031,False
64,960.0,24.672807693481445,34.88063049316406,34.88063049316406,False
65,975.0,24.86513328552246,35.15086364746094,35.15086364746094,False
66,990.0,25.055980682373047,35.41897964477539,35.418975830078125,False
67,1005.0,25.245384216308594,35.68503952026367,35.68504333496094,False
68,1020.0,25.43337631225586,35.94906997680664,35.949066162109375,False
69,1035.0,25.619991302490234,36.21113204956055,36.21113586425781,False
70,1050.0,25.80525779724121,36.47126770019531,36.47126770019531,False
71,1065.0,25.98935890197754,36.7297248840332,36.72972106933594,False
72,1080.0,26.17201042175293,36.986114501953125,36.986114501953125,False
73,1095.0,26.353395462036133,37.24068069458008,37.24067687988281,False
74,1110.0,26.533693313598633,37.49370193481445,37.49369812011719,False
75,1125.0,26.712621688842773,37.7447509765625,37.7447509765625,False
76,1140.0,26.89035987854004,37.99409866333008,37.99409484863281,False
77,1155.0,27.067081451416016,38.24199676513672,38.24199676513672,False
78,1170.0,27.242658615112305,38.488243103027344,38.488243103027344,False
79,1185.0,27.416961669921875,38.732666015625,38.732666015625,False
80,1200.0,27.59031105041504,38.97572326660156,38.97572326660156,False
81,1215.0,27.7625789642334,39.217227935791016,39.21722412109375,False
82,1230.0,27.93378257751465,39.45720672607422,39.45720672607422,False
83,1245.0,28.103797912597656,39.69548797607422,39.69548797607422,False
84,1260.0,28.272937774658203,39.93250274658203,39.93250274658203,False
85,1275.0,28.441070556640625,40.16807556152344,40.16807556152344,False
86,1290.0,28.60821533203125,40.4022331237793,40.40223693847656,False
87,1305.0,28.774389266967773,40.63499450683594,40.63499450683594,False
88,1320.0,28.93975067138672,40.8665885925293,40.86659240722656,False
89,1335.0,29.10403060913086,41.09663391113281,41.09663391113281,False
90,1350.0,29.26738929748535,41.32535934448242,41.32536315917969,False
91,1365.0,29.429841995239258,41.55278015136719,41.55278015136719,False
92,1380.0,29.591541290283203,41.779109954833984,41.77911376953125,False
93,1395.0,29.752222061157227,42.00399398803711,42.003997802734375,False
94,1410.0,29.91217803955078,42.22782516479492,42.22782897949219,False
95,1425.0,30.071147918701172,42.45024490356445,42.45024108886719,False
96,1440.0,30.229415893554688,42.671653747558594,42.671653747558594,False
97,1455.0,30.3867244720459,42.891685485839844,42.891685485839844,False
98,1470.0,30.543359756469727,43.11074447631836,43.110748291015625,False
99,1485.0,30.699193954467773,43.32865905761719,43.32865905761719,False
100,1500.0,30.85424041748047,43.54543685913086,43.545440673828125,False
101,1515.0,31.008512496948242,43.7610969543457,43.76109313964844,False
102,1530.0,31.161888122558594,43.97548294067383,-43.55952453613281,False
103,1545.0,31.31464385986328,44.18896484375,-43.346038818359375,False
104,1560.0,31.466659545898438,44.40138626098633,-43.13362121582031,False
105,1575.0,31.618072509765625,44.61293029785156,-42.92207336425781,False
106,1590.0,31.768634796142578,44.82326126098633,-42.71174621582031,False
107,1605.0,31.918487548828125,45.032569885253906,-42.50243377685547,False
108,1620.0,32.06764221191406,45.24087142944336,-42.29412841796875,False
109,1635.0,32.216102600097656,45.44818115234375,-42.086822509765625,False
110,1650.0,32.364009857177734,45.65468215942383,-41.88032531738281,False
111,1665.0,32.51111602783203,45.86003875732422,-41.674964904785156,False
112,1680.0,32.65768814086914,46.06462478637695,-41.47038269042969,False
113,1695.0,32.80348205566406,46.26808547973633,-41.26692199707031,False
114,1710.0,32.94874954223633,46.47079086303711,-41.064208984375,False
115,1725.0,33.09326171875,46.67241287231445,-40.86259460449219,False
116,1740.0,33.237266540527344,46.873294830322266,-40.661712646484375,False
117,1755.0,33.38064956665039,47.07328414916992,-40.46171569824219,False
118,1770.0,33.52341842651367,47.27239227294922,-40.262611389160156,False
119,1785.0,33.665462493896484,47.470455169677734,-40.064544677734375,False
120,1800.0,33.80702590942383,47.667823791503906,-39.86717987060547,False
121,1815.0,33.94800567626953,47.86434555053711,-39.670654296875,False
122,1830.0,34.08839797973633,48.06003189086914,-39.4749755859375,False
123,1845.0,34.228214263916016,48.25487518310547,-39.280128479003906,False
124,1860.0,34.36758041381836,48.449073791503906,-39.08592987060547,False
125,1875.0,34.50627136230469,48.64229965209961,-38.8927001953125,False
126,1890.0,34.64440155029297,48.834716796875,-38.700286865234375,False
127,1905.0,34.781986236572266,49.026344299316406,-38.50865936279297,False
128,1920.0,34.91913986206055,49.21735382080078,-38.317649841308594,False
129,1935.0,35.05564498901367,49.40742111206055,-38.12757873535156,False
130,1950.0,35.191619873046875,49.59672927856445,-37.93827819824219,False
131,1965.0,35.327186584472656,49.78544616699219,-37.74955749511719,False
132,1980.0,35.46223831176758,49.97341537475586,-37.56158447265625,False
133,1995.0,35.59666061401367,50.16048049926758,-37.37452697753906,False
134,2010.0,35.730690002441406,50.34697723388672,-37.188026428222656,False
135,2025.0,35.864219665527344,50.53274917602539,-37.00225830078125,False
136,2040.0,35.99713897705078,50.71764373779297,-36.817359924316406,False
137,2055.0,36.12968826293945,50.902000427246094,-36.63300323486328,False
138,2070.0,36.26174545288086,51.08565139770508,-36.44935607910156,False
139,2085.0,36.39332962036133,51.268611907958984,-36.266387939453125,False
140,2100.0,36.524436950683594,51.45088195800781,-36.08412170410156,False
141,2115.0,36.65507507324219,51.632484436035156,-35.90251922607422,False
142,2130.0,36.78525161743164,51.81340789794922,-35.721595764160156,False
143,2145.0,36.91496658325195,51.99366760253906,-35.54133605957031,False
144,2160.0,37.044334411621094,52.173431396484375,-35.361572265625,False
145,2175.0,37.17314910888672,52.352386474609375,-35.1826171875,False
146,2190.0,37.301517486572266,52.530696868896484,-35.004302978515625,False
147,2205.0,37.42955017089844,52.708526611328125,-34.82647705078125,False
148,2220.0,37.557037353515625,52.88556671142578,-34.649436950683594,False
149,2235.0,37.684207916259766,53.062137603759766,-34.472869873046875,False
150,2250.0,37.81084060668945,53.23794174194336,-34.29705810546875,False
151,2265.0,37.937156677246094,53.41328811645508,-34.12171936035156,False
152,2280.0,38.062950134277344,53.58787536621094,-33.94712829589844,False
153,2295.0,38.18843078613281,53.762001037597656,-33.77300262451172,False
154,2310.0,38.31350326538086,53.935550689697266,-33.599456787109375,False
155,2325.0,38.438167572021484,54.108497619628906,-33.42650604248047,False
156,2340.0,38.56243133544922,54.28086471557617,-33.25413513183594,False
157,2355.0,38.68629455566406,54.45265579223633,-33.08235168457031,False
158,2370.0,38.80976104736328,54.62387466430664,-32.9111328125,False
159,2385.0,38.93283462524414,54.79452133178711,-32.740478515625,False
160,2400.0,39.05552291870117,54.9646110534668,-32.57038879394531,False
161,2415.0,39.17782974243164,55.13414001464844,-32.40086364746094,False
162,2430.0,39.29975509643555,55.303123474121094,-32.23188018798828,False
163,2445.0,39.421295166015625,55.471553802490234,-32.063446044921875,False
164,2460.0,39.54257583618164,55.639591217041016,-31.895416259765625,False
165,2475.0,39.66337966918945,55.80694580078125,-31.728057861328125,False
166,2490.0,39.7838134765625,55.9737663269043,-31.561233520507812,False
167,2505.0,39.903987884521484,56.14021682739258,-31.394790649414062,False
168,2520.0,40.023799896240234,56.30612564086914,-31.2288818359375,False
169,2535.0,40.143157958984375,56.471378326416016,-31.063629150390625,False
170,2550.0,40.26225662231445,56.636268615722656,-30.89873504638672,False
171,2565.0,40.38090515136719,56.800498962402344,-30.73450469970703,False
172,2580.0,40.49930953979492,56.9643669128418,-30.570632934570312,False
173,2595.0,40.617366790771484,57.12773895263672,-30.407264709472656,False
174,2610.0,40.73508071899414,57.29060745239258,-30.244400024414062,False
175,2625.0,40.852455139160156,57.45298385620117,-30.082015991210938,False
176,2640.0,40.96950149536133,57.61488342285156,-29.920120239257812,False
177,2655.0,41.08620834350586,57.77629470825195,-29.758712768554688,False
178,2670.0,41.20258331298828,57.937217712402344,-29.59778594970703,False
179,2685.0,41.31863021850586,58.0976676940918,-29.437332153320312,False
180,2700.0,41.43435287475586,58.25764846801758,-29.277359008789062,False
181,2715.0,41.54985046386719,58.417301177978516,-29.117706298828125,False
182,2730.0,41.66493225097656,58.57634353637695,-28.958663940429688,False
183,2745.0,41.77969741821289,58.73494338989258,-28.800064086914062,False
