column,spacecraft_lon_deg,spacecraft_lat_deg,spacecraft_height_m,nadir_height_m,nadir_line,observed_peak_line,observed_peak_power,observed_peak_minus_nadir_line
1,167.113769,70.085493,313243.232,-2865.0,2603.0,2641,0.007791622541844845,38.0
2,167.111018,70.091384,313245.725,-2873.0,2605.0,2608,0.003554130205884576,3.0
3,167.10771,70.098463,313248.721,-2880.0,2606.0,2640,0.004368328023701906,34.0
4,167.10411,70.106163,313251.979,-2885.0,2607.0,2608,0.013045010156929493,1.0
5,167.100532,70.113811,313255.213,-2892.0,2608.0,2610,0.02078847400844097,2.0
6,167.096927,70.12151,313258.468,-2897.0,2609.0,2648,0.01619807258248329,39.0
7,167.093345,70.129158,313261.7,-2901.0,2610.0,2614,0.03441181778907776,4.0
8,167.089736,70.136857,313264.953,-2905.0,2611.0,2616,0.0407123900949955,5.0
9,167.086149,70.144505,313268.184,-2909.0,2611.0,2617,0.036692146211862564,6.0
10,167.082536,70.152204,313271.434,-2912.0,2612.0,2617,0.03190498426556587,5.0
11,167.078945,70.159852,313274.662,-2914.0,2612.0,2618,0.017438801005482674,6.0
12,167.075327,70.167551,313277.911,-2918.0,2613.0,2617,0.022845609113574028,4.0
13,167.071707,70.17525,313281.159,-2912.0,2612.0,2616,0.02019193023443222,4.0
14,167.068109,70.182897,313284.384,-2909.0,2612.0,2616,0.029389947652816772,4.0
15,167.064485,70.190596,313287.629,-2905.0,2611.0,2628,0.017353760078549385,17.0
16,167.060883,70.198243,313290.852,-2911.0,2612.0,2627,0.015676969662308693,15.0
17,167.057254,70.205941,313294.096,-2914.0,2612.0,2613,0.008920262567698956,1.0
18,167.053647,70.213588,313297.316,-2919.0,2613.0,2629,0.030605753883719444,16.0
19,167.050013,70.221287,313300.558,-2920.0,2614.0,2615,0.012723850086331367,1.0
20,167.046402,70.228934,313303.776,-2923.0,2614.0,2615,0.018094433471560478,1.0
21,167.042764,70.236632,313307.015,-2922.0,2614.0,2623,0.009059887379407883,9.0
22,167.039148,70.244279,313310.232,-2922.0,2614.0,2615,0.010073840618133545,1.0
23,167.035506,70.251977,313313.469,-2921.0,2614.0,2620,0.011954915709793568,6.0
24,167.031886,70.259624,313316.683,-2921.0,2614.0,2616,0.010487099178135395,2.0
25,167.028239,70.267322,313319.918,-2918.0,2614.0,2616,0.01769004762172699,2.0
26,167.024614,70.274968,313323.13,-2916.0,2613.0,2615,0.01894017495214939,2.0
27,167.020963,70.282666,313326.363,-2915.0,2613.0,2620,0.008529633283615112,7.0
28,167.017333,70.290312,313329.573,-2910.0,2612.0,2619,0.024093501269817352,7.0
29,167.013677,70.29801,313332.803,-2911.0,2612.0,2619,0.05635055527091026,7.0
30,167.010044,70.305656,313336.011,-2910.0,2612.0,2619,0.026778459548950195,7.0
31,167.006383,70.313354,313339.24,-2907.0,2612.0,2620,0.007376222405582666,8.0
32,167.002745,70.321,313342.446,-2908.0,2612.0,2619,0.009286342188715935,7.0
33,166.99908,70.328697,313345.672,-2907.0,2612.0,2627,0.0038490560837090015,15.0
34,166.995437,70.336343,313348.876,-2906.0,2612.0,2625,0.009367137216031551,13.0
35,166.991767,70.34404,313352.1,-2905.0,2612.0,2624,0.015248149633407593,12.0
36,166.98812,70.351686,313355.301,-2899.0,2611.0,2621,0.011174894869327545,10.0
37,166.984742,70.358763,313358.264,-2898.0,2610.0,2604,0.006064573302865028,-6.0
38,166.981065,70.36646,313361.485,-2891.0,2609.0,2627,0.013242620974779129,18.0
39,166.977411,70.374106,313364.684,-2889.0,2609.0,2626,0.006090161390602589,17.0
40,166.97373,70.381803,313367.903,-2888.0,2609.0,2623,0.008127283304929733,14.0
41,166.970072,70.389448,313371.099,-2889.0,2609.0,2622,0.010733830742537975,13.0
42,166.966386,70.397145,313374.316,-2887.0,2609.0,2620,0.00952394213527441,11.0
43,166.962723,70.40479,313377.51,-2887.0,2609.0,2613,0.005576530937105417,4.0
44,166.959033,70.412487,313380.725,-2888.0,2609.0,2616,0.006541087292134762,7.0
45,166.955365,70.420132,313383.917,-2887.0,2609.0,2612,0.013023349456489086,3.0
46,166.95167,70.427828,313387.129,-2886.0,2609.0,2613,0.017105987295508385,4.0
47,166.947998,70.435473,313390.319,-2882.0,2608.0,2612,0.019225461408495903,4.0
48,166.944298,70.443169,313393.53,-2878.0,2607.0,2617,0.04354251176118851,10.0
49,166.940596,70.450866,313396.739,-2887.0,2609.0,2616,0.05135425925254822,7.0
50,166.936917,70.45851,313399.926,-2895.0,2610.0,2616,0.008064533583819866,6.0
51,166.93321,70.466207,313403.133,-2900.0,2611.0,2615,0.032311175018548965,4.0
52,166.929526,70.473851,313406.318,-2902.0,2612.0,2615,0.026546157896518707,3.0
53,166.925815,70.481547,313409.523,-2907.0,2613.0,2616,0.04387582838535309,3.0
