column,spacecraft_lon_deg,spacecraft_lat_deg,spacecraft_height_m,nadir_height_m,nadir_line,nadir_areoid_radius_m,nadir_ellipsoid_radius_m
1,167.113769,70.085493,313243.232,-2865.0,2603.0,3380200.0,3378549.683
2,167.111018,70.091384,313245.725,-2873.0,2605.0,3380199.0,3378548.352
3,167.10771,70.098463,313248.721,-2880.0,2606.0,3380197.0,3378546.753
4,167.10411,70.106163,313251.979,-2885.0,2607.0,3380196.0,3378545.014
5,167.100532,70.113811,313255.213,-2892.0,2608.0,3380194.0,3378543.287
6,167.096927,70.12151,313258.468,-2897.0,2609.0,3380192.0,3378541.549
7,167.093345,70.129158,313261.7,-2901.0,2610.0,3380191.0,3378539.824
8,167.089736,70.136857,313264.953,-2905.0,2611.0,3380190.0,3378538.087
9,167.086149,70.144505,313268.184,-2909.0,2611.0,3380188.0,3378536.362
10,167.082536,70.152204,313271.434,-2912.0,2612.0,3380187.0,3378534.627
11,167.078945,70.159852,313274.662,-2914.0,2612.0,3380185.0,3378532.904
12,167.075327,70.167551,313277.911,-2918.0,2613.0,3380184.0,3378531.169
13,167.071707,70.17525,313281.159,-2912.0,2612.0,3380182.0,3378529.435
14,167.068109,70.182897,313284.384,-2909.0,2612.0,3380180.0,3378527.714
15,167.064485,70.190596,313287.629,-2905.0,2611.0,3380179.0,3378525.981
16,167.060883,70.198243,313290.852,-2911.0,2612.0,3380178.0,3378524.261
17,167.057254,70.205941,313294.096,-2914.0,2612.0,3380176.0,3378522.529
18,167.053647,70.213588,313297.316,-2919.0,2613.0,3380174.0,3378520.81
19,167.050013,70.221287,313300.558,-2920.0,2614.0,3380173.0,3378519.079
20,167.046402,70.228934,313303.776,-2923.0,2614.0,3380171.0,3378517.361
21,167.042764,70.236632,313307.015,-2922.0,2614.0,3380170.0,3378515.632
22,167.039148,70.244279,313310.232,-2922.0,2614.0,3380167.0,3378513.915
23,167.035506,70.251977,313313.469,-2921.0,2614.0,3380167.0,3378512.187
24,167.031886,70.259624,313316.683,-2921.0,2614.0,3380165.0,3378510.471
25,167.028239,70.267322,313319.918,-2918.0,2614.0,3380164.0,3378508.744
26,167.024614,70.274968,313323.13,-2916.0,2613.0,3380162.0,3378507.029
27,167.020963,70.282666,313326.363,-2915.0,2613.0,3380160.0,3378505.304
28,167.017333,70.290312,313329.573,-2910.0,2612.0,3380159.0,3378503.59
29,167.013677,70.29801,313332.803,-2911.0,2612.0,3380158.0,3378501.865
30,167.010044,70.305656,313336.011,-2910.0,2612.0,3380156.0,3378500.153
31,167.006383,70.313354,313339.24,-2907.0,2612.0,3380155.0,3378498.429
32,167.002745,70.321,313342.446,-2908.0,2612.0,3380153.0,3378496.718
33,166.99908,70.328697,313345.672,-2907.0,2612.0,3380152.0,3378494.996
34,166.995437,70.336343,313348.876,-2906.0,2612.0,3380150.0,3378493.285
35,166.991767,70.34404,313352.1,-2905.0,2612.0,3380149.0,3378491.564
36,166.98812,70.351686,313355.301,-2899.0,2611.0,3380147.0,3378489.855
37,166.984742,70.358763,313358.264,-2898.0,2610.0,3380145.0,3378488.274
38,166.981065,70.36646,313361.485,-2891.0,2609.0,3380144.0,3378486.554
39,166.977411,70.374106,313364.684,-2889.0,2609.0,3380143.0,3378484.847
40,166.97373,70.381803,313367.903,-2888.0,2609.0,3380140.0,3378483.128
41,166.970072,70.389448,313371.099,-2889.0,2609.0,3380140.0,3378481.422
42,166.966386,70.397145,313374.316,-2887.0,2609.0,3380138.0,3378479.705
43,166.962723,70.40479,313377.51,-2887.0,2609.0,3380137.0,3378478.0
44,166.959033,70.412487,313380.725,-2888.0,2609.0,3380135.0,3378476.284
45,166.955365,70.420132,313383.917,-2887.0,2609.0,3380134.0,3378474.58
46,166.95167,70.427828,313387.129,-2886.0,2609.0,3380132.0,3378472.865
47,166.947998,70.435473,313390.319,-2882.0,2608.0,3380131.0,3378471.162
48,166.944298,70.443169,313393.53,-2878.0,2607.0,3380129.0,3378469.448
49,166.940596,70.450866,313396.739,-2887.0,2609.0,3380127.0,3378467.735
50,166.936917,70.45851,313399.926,-2895.0,2610.0,3380125.0,3378466.034
51,166.93321,70.466207,313403.133,-2900.0,2611.0,3380125.0,3378464.322
52,166.929526,70.473851,313406.318,-2902.0,2612.0,3380123.0,3378462.622
53,166.925815,70.481547,313409.523,-2907.0,2613.0,3380122.0,3378460.911
54,166.922127,70.489191,313412.705,-2906.0,2612.0,3380120.0,3378459.212
55,166.918411,70.496887,313415.908,-2905.0,2612.0,3380119.0,3378457.503
56,166.914718,70.504531,313419.088,-2904.0,2612.0,3380117.0,3378455.805
57,166.910997,70.512227,313422.289,-2903.0,2612.0,3380116.0,3378454.096
58,166.907299,70.519871,313425.467,-2897.0,2611.0,3380114.0,3378452.4
59,166.903574,70.527567,313428.666,-2897.0,2611.0,3380113.0,3378450.692
60,166.899871,70.535211,313431.842,-2896.0,2611.0,3380111.0,3378448.997
61,166.896141,70.542906,313435.039,-2902.0,2612.0,3380110.0,3378447.291
62,166.892434,70.55055,313438.213,-2905.0,2612.0,3380107.0,3378445.597
63,166.888699,70.558245,313441.407,-2907.0,2613.0,3380107.0,3378443.892
64,166.884987,70.565889,313444.579,-2908.0,2613.0,3380105.0,3378442.199
65,166.881248,70.573584,313447.771,-2905.0,2613.0,3380104.0,3378440.495
66,166.877531,70.581227,313450.941,-2903.0,2612.0,3380102.0,3378438.803
67,166.873787,70.588922,313454.131,-2900.0,2612.0,3380100.0,3378437.1
68,166.870066,70.596565,313457.298,-2897.0,2611.0,3380099.0,3378435.409
