case,band,frequency_mhz,depth_label,base_prf_hz,min_safe_prf_hz,raw_alias_threshold_hz,keep_every,removed_percent,effective_prf_hz,along_track_spacing_m,alias_landing_hz,zero_fold_gap_hz,status,window_usable_before_removal
HF selected target,HF,9.0,6 km,2207.3528151027504,492.644012955777,394.1152103646216,1,0.0,2207.3528151027504,2.0839441563336463,197.0576051823109,197.0576051823109,clean,True
HF selected target,HF,9.0,6 km,2207.3528151027504,492.644012955777,394.1152103646216,2,50.0,1103.6764075513752,4.1678883126672925,197.0576051823108,197.0576051823108,clean,True
HF selected target,HF,9.0,6 km,2207.3528151027504,492.644012955777,394.1152103646216,3,66.66666666666667,735.7842717009167,6.251832469000939,197.05760518231085,197.05760518231085,clean,True
HF selected target,HF,9.0,6 km,2207.3528151027504,492.644012955777,394.1152103646216,4,75.0,551.8382037756876,8.335776625334585,197.0576051823108,197.0576051823108,clean,True
HF selected target,HF,9.0,6 km,2207.3528151027504,492.644012955777,394.1152103646216,5,80.0,441.47056302055006,10.41972078166823,197.05760518231082,197.05760518231082,margin gone,True
HF selected target,HF,9.0,6 km,2207.3528151027504,492.644012955777,394.1152103646216,6,83.33333333333334,367.8921358504584,12.503664938001878,-170.8345306681476,170.8345306681476,folding blur,True
HF full-depth sweep,HF,9.0,0-30 km,1354.961222064253,654.431925710205,523.5455405681639,1,0.0,1354.961222064253,3.394931105845231,261.77277028408196,261.77277028408196,clean,True
HF full-depth sweep,HF,9.0,0-30 km,1354.961222064253,654.431925710205,523.5455405681639,2,50.0,677.4806110321265,6.789862211690462,261.77277028408196,261.77277028408196,clean,True
HF full-depth sweep,HF,9.0,0-30 km,1354.961222064253,654.431925710205,523.5455405681639,3,66.66666666666667,451.6537406880843,10.184793317535693,-189.88097040400237,189.88097040400237,folding blur,True
HF full-depth sweep,HF,9.0,0-30 km,1354.961222064253,654.431925710205,523.5455405681639,4,75.0,338.74030551606324,13.579724423380924,-76.96753523198129,76.96753523198129,folding blur,True
VHF shallow edge,VHF,60.0,2.25 km,2447.977230343834,2334.0156249764605,1867.2124999811683,1,0.0,2447.977230343834,1.8791024454724607,933.6062499905843,933.6062499905843,clean,True
VHF shallow edge,VHF,60.0,2.25 km,2447.977230343834,2334.0156249764605,1867.2124999811683,2,50.0,1223.988615171917,3.7582048909449215,-290.38236518133294,290.38236518133294,folding blur,True
VHF shallow edge,VHF,60.0,2.25 km,2447.977230343834,2334.0156249764605,1867.2124999811683,3,66.66666666666667,815.9924101146113,5.637307336417383,117.61383987597293,117.61383987597293,folding blur,True
VHF shallow edge,VHF,60.0,2.25 km,2447.977230343834,2334.0156249764605,1867.2124999811683,4,75.0,611.9943075859585,7.516409781889843,-290.38236518133283,290.38236518133283,folding blur,True
VHF deep target,VHF,60.0,6 km,2207.3528151027504,3284.2934197051795,2627.4347357641436,1,0.0,2207.3528151027504,2.0839441563336463,-893.6354472206785,893.6354472206785,folding blur,False
VHF deep target,VHF,60.0,6 km,2207.3528151027504,3284.2934197051795,2627.4347357641436,2,50.0,1103.6764075513752,4.1678883126672925,210.04096033069663,210.04096033069663,folding blur,False
VHF deep target,VHF,60.0,6 km,2207.3528151027504,3284.2934197051795,2627.4347357641436,3,66.66666666666667,735.7842717009167,6.251832469000939,-157.85117551976174,157.85117551976174,folding blur,False
VHF deep target,VHF,60.0,6 km,2207.3528151027504,3284.2934197051795,2627.4347357641436,4,75.0,551.8382037756876,8.335776625334585,210.04096033069652,210.04096033069652,folding blur,False
