x_km,altitude_km,same_delay_clutter_angle_deg,max_doppler_hz,required_prf_hz,effective_prf_hz,prf_margin,risk_0_to_1
-500.000,1000.000,8.337,266.785,666.962,2207.350,3.30956,0.00000
-495.000,980.597,8.418,269.369,673.423,2207.350,3.27781,0.00000
-490.000,961.390,8.501,272.003,680.007,2207.350,3.24607,0.00000
-485.000,942.377,8.586,274.687,686.719,2207.350,3.21434,0.00000
-480.000,923.560,8.672,277.424,693.561,2207.350,3.18263,0.00000
-475.000,904.938,8.760,280.215,700.537,2207.350,3.15094,0.00000
-470.000,886.510,8.849,283.061,707.652,2207.350,3.11926,0.00000
-465.000,868.278,8.941,285.964,714.910,2207.350,3.08759,0.00000
-460.000,850.240,9.034,288.926,722.314,2207.350,3.05594,0.00000
-455.000,832.398,9.130,291.948,729.869,2207.350,3.02431,0.00000
-450.000,814.750,9.227,295.032,737.580,2207.350,2.99269,0.00000
-445.000,797.298,9.326,298.180,745.451,2207.350,2.96109,0.00000
-440.000,780.040,9.428,301.395,753.487,2207.350,2.92951,0.00000
-435.000,762.977,9.531,304.677,761.693,2207.350,2.89795,0.00000
-430.000,746.110,9.637,308.030,770.075,2207.350,2.86641,0.00000
-425.000,729.437,9.745,311.455,778.638,2207.350,2.83489,0.00000
-420.000,712.960,9.856,314.955,787.388,2207.350,2.80338,0.00000
-415.000,696.678,9.969,318.532,796.331,2207.350,2.77190,0.00000
-410.000,680.590,10.085,322.189,805.472,2207.350,2.74044,0.00000
-405.000,664.698,10.203,325.928,814.820,2207.350,2.70900,0.00000
-400.000,649.000,10.324,329.752,824.379,2207.350,2.67759,0.00000
-395.000,633.498,10.448,333.663,834.158,2207.350,2.64620,0.00000
-390.000,618.190,10.574,337.665,844.163,2207.350,2.61484,0.00000
-385.000,603.077,10.704,341.761,854.402,2207.350,2.58350,0.00000
-380.000,588.160,10.837,345.954,864.884,2207.350,2.55219,0.00000
-375.000,573.438,10.973,350.247,875.617,2207.350,2.52091,0.00000
-370.000,558.910,11.113,354.643,886.608,2207.350,2.48966,0.00000
-365.000,544.577,11.256,359.147,897.869,2207.350,2.45843,0.00000
-360.000,530.440,11.402,363.763,909.407,2207.350,2.42724,0.00000
-355.000,516.497,11.553,368.493,921.232,2207.350,2.39608,0.00000
-350.000,502.750,11.707,373.343,933.356,2207.350,2.36496,0.00000
-345.000,489.197,11.865,378.316,945.789,2207.350,2.33387,0.00000
-340.000,475.840,12.027,383.417,958.543,2207.350,2.30282,0.00000
-335.000,462.678,12.194,388.651,971.628,2207.350,2.27180,0.00000
-330.000,449.710,12.365,394.024,985.059,2207.350,2.24083,0.00000
-325.000,436.938,12.541,399.539,998.847,2207.350,2.20990,0.00000
-320.000,424.360,12.722,405.202,1013.006,2207.350,2.17901,0.00000
-315.000,411.978,12.908,411.020,1027.550,2207.350,2.14817,0.00000
-310.000,399.790,13.099,416.998,1042.496,2207.350,2.11737,0.00000
-305.000,387.798,13.295,423.143,1057.857,2207.350,2.08662,0.00000
-300.000,376.000,13.497,429.460,1073.650,2207.350,2.05593,0.00000
-295.000,364.397,13.706,435.958,1089.894,2207.350,2.02529,0.00000
-290.000,352.990,13.920,442.642,1106.605,2207.350,1.99470,0.00000
-285.000,341.777,14.141,449.521,1123.802,2207.350,1.96418,0.00000
-280.000,330.760,14.368,456.603,1141.506,2207.350,1.93372,0.00000
-275.000,319.938,14.603,463.895,1159.737,2207.350,1.90332,0.00000
-270.000,309.310,14.845,471.407,1178.517,2207.350,1.87299,0.00000
-265.000,298.878,15.094,479.147,1197.869,2207.350,1.84273,0.00000
-260.000,288.640,15.352,487.126,1217.816,2207.350,1.81255,0.00000
-255.000,278.597,15.617,495.353,1238.384,2207.350,1.78244,0.00000
-250.000,268.750,15.892,503.839,1259.598,2207.350,1.75242,0.00000
-245.000,259.097,16.176,512.595,1281.487,2207.350,1.72249,0.00000
-240.000,249.640,16.469,521.632,1304.079,2207.350,1.69265,0.00000
-235.000,240.377,16.772,530.962,1327.405,2207.350,1.66291,0.00000
-230.000,231.310,17.086,540.598,1351.495,2207.350,1.63327,0.00000
-225.000,222.438,17.410,550.553,1376.382,2207.350,1.60373,0.00000
-220.000,213.760,17.746,560.841,1402.101,2207.350,1.57432,0.00000
-215.000,205.277,18.094,571.475,1428.688,2207.350,1.54502,0.00000
-210.000,196.990,18.455,582.472,1456.179,2207.350,1.51585,0.00000
-205.000,188.897,18.829,593.845,1484.614,2207.350,1.48682,0.00000
-200.000,181.000,19.216,605.612,1514.031,2207.350,1.45793,0.00000
-195.000,173.298,19.618,617.789,1544.472,2207.350,1.42919,0.00000
-190.000,165.790,20.036,630.392,1575.980,2207.350,1.40062,0.00000
-185.000,158.477,20.469,643.439,1608.597,2207.350,1.37222,0.00000
-180.000,151.360,20.918,656.948,1642.369,2207.350,1.34400,0.00000
-175.000,144.438,21.385,670.936,1677.339,2207.350,1.31598,0.00000
-170.000,137.710,21.871,685.422,1713.554,2207.350,1.28817,0.00000
-165.000,131.178,22.375,700.423,1751.057,2207.350,1.26058,0.00000
-160.000,124.840,22.899,715.957,1789.894,2207.350,1.23323,0.00877
-155.000,118.698,23.444,732.042,1830.106,2207.350,1.20613,0.02651
-150.000,112.750,24.010,748.694,1871.735,2207.350,1.17931,0.04588
-145.000,106.997,24.599,765.927,1914.818,2207.350,1.15277,0.06619
-140.000,101.440,25.211,783.755,1959.387,2207.350,1.12655,0.08711
-135.000,96.078,25.847,802.189,2005.472,2207.350,1.10066,0.10843
-130.000,90.910,26.508,821.236,2053.089,2207.350,1.07514,0.13001
-125.000,85.938,27.194,840.900,2102.251,2207.350,1.04999,0.15173
-120.000,81.160,27.907,861.181,2152.953,2207.350,1.02527,0.17349
-115.000,76.578,28.645,882.072,2205.180,2207.350,1.00098,0.19522
-110.000,72.190,29.411,903.558,2258.895,2207.350,0.97718,0.21683
-105.000,67.998,30.202,925.616,2314.040,2207.350,0.95389,0.23825
-100.000,64.000,31.020,948.213,2370.533,2207.350,0.93116,0.25940
-95.000,60.197,31.862,971.304,2428.259,2207.350,0.90903,0.28022
-90.000,56.590,32.729,994.827,2487.067,2207.350,0.88753,0.30063
-85.000,53.178,33.617,1018.707,2546.768,2207.350,0.86673,0.32055
-80.000,49.960,34.525,1042.850,2607.125,2207.350,0.84666,0.33993
-75.000,46.938,35.448,1067.140,2667.850,2207.350,0.82739,0.35867
-70.000,44.110,36.383,1091.441,2728.603,2207.350,0.80897,0.37671
-65.000,41.478,37.322,1115.593,2788.983,2207.350,0.79145,0.41294
-60.000,39.040,38.261,1139.412,2848.531,2207.350,0.77491,0.45084
-55.000,36.797,39.190,1162.693,2906.732,2207.350,0.75939,0.48676
-50.000,34.750,40.101,1185.206,2963.014,2207.350,0.74497,0.52046
-45.000,32.898,40.982,1206.704,3016.761,2207.350,0.73170,0.55173
-40.000,31.240,41.821,1226.928,3067.320,2207.350,0.71963,0.58035
-35.000,29.777,42.607,1245.607,3114.019,2207.350,0.70884,0.60611
-30.000,28.510,43.324,1262.474,3156.186,2207.350,0.69937,0.62884
-25.000,27.438,43.961,1277.268,3193.169,2207.350,0.69127,0.64836
-20.000,26.560,44.503,1289.746,3224.364,2207.350,0.68458,0.66454
-15.000,25.878,44.939,1299.694,3249.234,2207.350,0.67934,0.67725
-10.000,25.390,45.259,1306.934,3267.334,2207.350,0.67558,0.68640
-5.000,25.098,45.453,1311.333,3278.332,2207.350,0.67331,0.69192
0.000,25.000,45.519,1312.809,3282.021,2207.350,0.67256,0.69376
5.000,25.098,45.453,1311.333,3278.332,2207.350,0.67331,0.69192
10.000,25.390,45.259,1306.934,3267.334,2207.350,0.67558,0.68640
15.000,25.878,44.939,1299.694,3249.234,2207.350,0.67934,0.67725
20.000,26.560,44.503,1289.746,3224.364,2207.350,0.68458,0.66454
25.000,27.438,43.961,1277.268,3193.169,2207.350,0.69127,0.64836
30.000,28.510,43.324,1262.474,3156.186,2207.350,0.69937,0.62884
35.000,29.777,42.607,1245.607,3114.019,2207.350,0.70884,0.60611
40.000,31.240,41.821,1226.928,3067.320,2207.350,0.71963,0.58035
45.000,32.898,40.982,1206.704,3016.761,2207.350,0.73170,0.55173
50.000,34.750,40.101,1185.206,2963.014,2207.350,0.74497,0.52046
55.000,36.797,39.190,1162.693,2906.732,2207.350,0.75939,0.48676
60.000,39.040,38.261,1139.412,2848.531,2207.350,0.77491,0.45084
65.000,41.478,37.322,1115.593,2788.983,2207.350,0.79145,0.41294
70.000,44.110,36.383,1091.441,2728.603,2207.350,0.80897,0.37671
75.000,46.938,35.448,1067.140,2667.850,2207.350,0.82739,0.35867
80.000,49.960,34.525,1042.850,2607.125,2207.350,0.84666,0.33993
85.000,53.178,33.617,1018.707,2546.768,2207.350,0.86673,0.32055
90.000,56.590,32.729,994.827,2487.067,2207.350,0.88753,0.30063
95.000,60.197,31.862,971.304,2428.259,2207.350,0.90903,0.28022
100.000,64.000,31.020,948.213,2370.533,2207.350,0.93116,0.25940
105.000,67.998,30.202,925.616,2314.040,2207.350,0.95389,0.23825
110.000,72.190,29.411,903.558,2258.895,2207.350,0.97718,0.21683
115.000,76.578,28.645,882.072,2205.180,2207.350,1.00098,0.19522
120.000,81.160,27.907,861.181,2152.953,2207.350,1.02527,0.17349
125.000,85.938,27.194,840.900,2102.251,2207.350,1.04999,0.15173
130.000,90.910,26.508,821.236,2053.089,2207.350,1.07514,0.13001
135.000,96.078,25.847,802.189,2005.472,2207.350,1.10066,0.10843
140.000,101.440,25.211,783.755,1959.387,2207.350,1.12655,0.08711
145.000,106.997,24.599,765.927,1914.818,2207.350,1.15277,0.06619
150.000,112.750,24.010,748.694,1871.735,2207.350,1.17931,0.04588
155.000,118.698,23.444,732.042,1830.106,2207.350,1.20613,0.02651
160.000,124.840,22.899,715.957,1789.894,2207.350,1.23323,0.00877
165.000,131.178,22.375,700.423,1751.057,2207.350,1.26058,0.00000
170.000,137.710,21.871,685.422,1713.554,2207.350,1.28817,0.00000
175.000,144.438,21.385,670.936,1677.339,2207.350,1.31598,0.00000
180.000,151.360,20.918,656.948,1642.369,2207.350,1.34400,0.00000
185.000,158.477,20.469,643.439,1608.597,2207.350,1.37222,0.00000
190.000,165.790,20.036,630.392,1575.980,2207.350,1.40062,0.00000
195.000,173.298,19.618,617.789,1544.472,2207.350,1.42919,0.00000
200.000,181.000,19.216,605.612,1514.031,2207.350,1.45793,0.00000
205.000,188.897,18.829,593.845,1484.614,2207.350,1.48682,0.00000
210.000,196.990,18.455,582.472,1456.179,2207.350,1.51585,0.00000
215.000,205.277,18.094,571.475,1428.688,2207.350,1.54502,0.00000
220.000,213.760,17.746,560.841,1402.101,2207.350,1.57432,0.00000
225.000,222.438,17.410,550.553,1376.382,2207.350,1.60373,0.00000
230.000,231.310,17.086,540.598,1351.495,2207.350,1.63327,0.00000
235.000,240.377,16.772,530.962,1327.405,2207.350,1.66291,0.00000
240.000,249.640,16.469,521.632,1304.079,2207.350,1.69265,0.00000
245.000,259.097,16.176,512.595,1281.487,2207.350,1.72249,0.00000
250.000,268.750,15.892,503.839,1259.598,2207.350,1.75242,0.00000
255.000,278.597,15.617,495.353,1238.384,2207.350,1.78244,0.00000
260.000,288.640,15.352,487.126,1217.816,2207.350,1.81255,0.00000
265.000,298.878,15.094,479.147,1197.869,2207.350,1.84273,0.00000
270.000,309.310,14.845,471.407,1178.517,2207.350,1.87299,0.00000
275.000,319.938,14.603,463.895,1159.737,2207.350,1.90332,0.00000
280.000,330.760,14.368,456.603,1141.506,2207.350,1.93372,0.00000
285.000,341.777,14.141,449.521,1123.802,2207.350,1.96418,0.00000
290.000,352.990,13.920,442.642,1106.605,2207.350,1.99470,0.00000
295.000,364.397,13.706,435.958,1089.894,2207.350,2.02529,0.00000
300.000,376.000,13.497,429.460,1073.650,2207.350,2.05593,0.00000
305.000,387.798,13.295,423.143,1057.857,2207.350,2.08662,0.00000
310.000,399.790,13.099,416.998,1042.496,2207.350,2.11737,0.00000
315.000,411.978,12.908,411.020,1027.550,2207.350,2.14817,0.00000
320.000,424.360,12.722,405.202,1013.006,2207.350,2.17901,0.00000
325.000,436.938,12.541,399.539,998.847,2207.350,2.20990,0.00000
330.000,449.710,12.365,394.024,985.059,2207.350,2.24083,0.00000
335.000,462.678,12.194,388.651,971.628,2207.350,2.27180,0.00000
340.000,475.840,12.027,383.417,958.543,2207.350,2.30282,0.00000
345.000,489.197,11.865,378.316,945.789,2207.350,2.33387,0.00000
350.000,502.750,11.707,373.343,933.356,2207.350,2.36496,0.00000
355.000,516.497,11.553,368.493,921.232,2207.350,2.39608,0.00000
360.000,530.440,11.402,363.763,909.407,2207.350,2.42724,0.00000
365.000,544.577,11.256,359.147,897.869,2207.350,2.45843,0.00000
370.000,558.910,11.113,354.643,886.608,2207.350,2.48966,0.00000
375.000,573.438,10.973,350.247,875.617,2207.350,2.52091,0.00000
380.000,588.160,10.837,345.954,864.884,2207.350,2.55219,0.00000
385.000,603.077,10.704,341.761,854.402,2207.350,2.58350,0.00000
390.000,618.190,10.574,337.665,844.163,2207.350,2.61484,0.00000
395.000,633.498,10.448,333.663,834.158,2207.350,2.64620,0.00000
400.000,649.000,10.324,329.752,824.379,2207.350,2.67759,0.00000
405.000,664.698,10.203,325.928,814.820,2207.350,2.70900,0.00000
410.000,680.590,10.085,322.189,805.472,2207.350,2.74044,0.00000
415.000,696.678,9.969,318.532,796.331,2207.350,2.77190,0.00000
420.000,712.960,9.856,314.955,787.388,2207.350,2.80338,0.00000
425.000,729.437,9.745,311.455,778.638,2207.350,2.83489,0.00000
430.000,746.110,9.637,308.030,770.075,2207.350,2.86641,0.00000
435.000,762.977,9.531,304.677,761.693,2207.350,2.89795,0.00000
440.000,780.040,9.428,301.395,753.487,2207.350,2.92951,0.00000
445.000,797.298,9.326,298.180,745.451,2207.350,2.96109,0.00000
450.000,814.750,9.227,295.032,737.580,2207.350,2.99269,0.00000
455.000,832.398,9.130,291.948,729.869,2207.350,3.02431,0.00000
460.000,850.240,9.034,288.926,722.314,2207.350,3.05594,0.00000
465.000,868.278,8.941,285.964,714.910,2207.350,3.08759,0.00000
470.000,886.510,8.849,283.061,707.652,2207.350,3.11926,0.00000
475.000,904.938,8.760,280.215,700.537,2207.350,3.15094,0.00000
480.000,923.560,8.672,277.424,693.561,2207.350,3.18263,0.00000
485.000,942.377,8.586,274.687,686.719,2207.350,3.21434,0.00000
490.000,961.390,8.501,272.003,680.007,2207.350,3.24607,0.00000
495.000,980.597,8.418,269.369,673.423,2207.350,3.27781,0.00000
500.000,1000.000,8.337,266.785,666.962,2207.350,3.30956,0.00000
