x_km,altitude_km,same_delay_clutter_angle_deg,required_prf_hz,effective_prf_hz,prf_margin,risk_0_to_1
-500.000,1000.000,8.337,666.962,2207.350,3.3096,0.0000
-495.000,980.597,8.418,673.423,2207.350,3.2778,0.0000
-490.000,961.390,8.501,680.007,2207.350,3.2461,0.0000
-485.000,942.377,8.586,686.719,2207.350,3.2143,0.0000
-480.000,923.560,8.672,693.561,2207.350,3.1826,0.0000
-475.000,904.938,8.760,700.537,2207.350,3.1509,0.0000
-470.000,886.510,8.849,707.652,2207.350,3.1193,0.0000
-465.000,868.278,8.941,714.910,2207.350,3.0876,0.0000
-460.000,850.240,9.034,722.314,2207.350,3.0559,0.0000
-455.000,832.398,9.130,729.869,2207.350,3.0243,0.0000
-450.000,814.750,9.227,737.580,2207.350,2.9927,0.0000
-445.000,797.298,9.326,745.451,2207.350,2.9611,0.0000
-440.000,780.040,9.428,753.487,2207.350,2.9295,0.0000
-435.000,762.977,9.531,761.693,2207.350,2.8980,0.0000
-430.000,746.110,9.637,770.075,2207.350,2.8664,0.0000
-425.000,729.437,9.745,778.638,2207.350,2.8349,0.0000
-420.000,712.960,9.856,787.388,2207.350,2.8034,0.0000
-415.000,696.678,9.969,796.331,2207.350,2.7719,0.0000
-410.000,680.590,10.085,805.472,2207.350,2.7404,0.0000
-405.000,664.698,10.203,814.820,2207.350,2.7090,0.0000
-400.000,649.000,10.324,824.379,2207.350,2.6776,0.0000
-395.000,633.498,10.448,834.158,2207.350,2.6462,0.0000
-390.000,618.190,10.574,844.163,2207.350,2.6148,0.0000
-385.000,603.077,10.704,854.402,2207.350,2.5835,0.0000
-380.000,588.160,10.837,864.884,2207.350,2.5522,0.0000
-375.000,573.438,10.973,875.617,2207.350,2.5209,0.0000
-370.000,558.910,11.113,886.608,2207.350,2.4897,0.0000
-365.000,544.577,11.256,897.869,2207.350,2.4584,0.0000
-360.000,530.440,11.402,909.407,2207.350,2.4272,0.0000
-355.000,516.497,11.553,921.232,2207.350,2.3961,0.0000
-350.000,502.750,11.707,933.356,2207.350,2.3650,0.0000
-345.000,489.197,11.865,945.789,2207.350,2.3339,0.0000
-340.000,475.840,12.027,958.543,2207.350,2.3028,0.0000
-335.000,462.678,12.194,971.628,2207.350,2.2718,0.0000
-330.000,449.710,12.365,985.059,2207.350,2.2408,0.0000
-325.000,436.938,12.541,998.847,2207.350,2.2099,0.0000
-320.000,424.360,12.722,1013.006,2207.350,2.1790,0.0000
-315.000,411.978,12.908,1027.550,2207.350,2.1482,0.0000
-310.000,399.790,13.099,1042.496,2207.350,2.1174,0.0000
-305.000,387.798,13.295,1057.857,2207.350,2.0866,0.0000
-300.000,376.000,13.497,1073.650,2207.350,2.0559,0.0000
-295.000,364.397,13.706,1089.894,2207.350,2.0253,0.0000
-290.000,352.990,13.920,1106.605,2207.350,1.9947,0.0000
-285.000,341.777,14.141,1123.802,2207.350,1.9642,0.0000
-280.000,330.760,14.368,1141.506,2207.350,1.9337,0.0000
-275.000,319.938,14.603,1159.737,2207.350,1.9033,0.0000
-270.000,309.310,14.845,1178.517,2207.350,1.8730,0.0000
-265.000,298.878,15.094,1197.869,2207.350,1.8427,0.0000
-260.000,288.640,15.352,1217.816,2207.350,1.8125,0.0000
-255.000,278.597,15.617,1238.384,2207.350,1.7824,0.0000
-250.000,268.750,15.892,1259.598,2207.350,1.7524,0.0000
-245.000,259.097,16.176,1281.487,2207.350,1.7225,0.0000
-240.000,249.640,16.469,1304.079,2207.350,1.6927,0.0000
-235.000,240.377,16.772,1327.405,2207.350,1.6629,0.0000
-230.000,231.310,17.086,1351.495,2207.350,1.6333,0.0000
-225.000,222.438,17.410,1376.382,2207.350,1.6037,0.0000
-220.000,213.760,17.746,1402.101,2207.350,1.5743,0.0000
-215.000,205.277,18.094,1428.688,2207.350,1.5450,0.0000
-210.000,196.990,18.455,1456.179,2207.350,1.5159,0.0000
-205.000,188.897,18.829,1484.614,2207.350,1.4868,0.0000
-200.000,181.000,19.216,1514.031,2207.350,1.4579,0.0000
-195.000,173.298,19.618,1544.472,2207.350,1.4292,0.0000
-190.000,165.790,20.036,1575.980,2207.350,1.4006,0.0000
-185.000,158.477,20.469,1608.597,2207.350,1.3722,0.0000
-180.000,151.360,20.918,1642.369,2207.350,1.3440,0.0000
-175.000,144.438,21.385,1677.339,2207.350,1.3160,0.0000
-170.000,137.710,21.871,1713.554,2207.350,1.2882,0.0000
-165.000,131.178,22.375,1751.057,2207.350,1.2606,0.0000
-160.000,124.840,22.899,1789.894,2207.350,1.2332,0.0096
-155.000,118.698,23.444,1830.106,2207.350,1.2061,0.0334
-150.000,112.750,24.010,1871.735,2207.350,1.1793,0.0620
-145.000,106.997,24.599,1914.818,2207.350,1.1528,0.0939
-140.000,101.440,25.211,1959.387,2207.350,1.1266,0.1280
-135.000,96.078,25.847,2005.472,2207.350,1.1007,0.1640
-130.000,90.910,26.508,2053.089,2207.350,1.0751,0.2013
-125.000,85.938,27.194,2102.251,2207.350,1.0500,0.2398
-120.000,81.160,27.907,2152.953,2207.350,1.0253,0.2790
-115.000,76.578,28.645,2205.180,2207.350,1.0010,0.3188
-110.000,72.190,29.411,2258.895,2207.350,0.9772,0.3590
-105.000,67.998,30.202,2314.040,2207.350,0.9539,0.3993
-100.000,64.000,31.020,2370.533,2207.350,0.9312,0.4396
-95.000,60.197,31.862,2428.259,2207.350,0.9090,0.4797
-90.000,56.590,32.729,2487.067,2207.350,0.8875,0.5193
-85.000,53.178,33.617,2546.768,2207.350,0.8667,0.5584
-80.000,49.960,34.525,2607.125,2207.350,0.8467,0.5967
-75.000,46.938,35.448,2667.850,2207.350,0.8274,0.6341
-70.000,44.110,36.383,2728.603,2207.350,0.8090,0.6702
-65.000,41.478,37.322,2788.983,2207.350,0.7915,0.7050
-60.000,39.040,38.261,2848.531,2207.350,0.7749,0.7383
-55.000,36.797,39.190,2906.732,2207.350,0.7594,0.7698
-50.000,34.750,40.101,2963.014,2207.350,0.7450,0.7993
-45.000,32.898,40.982,3016.761,2207.350,0.7317,0.8267
-40.000,31.240,41.821,3067.320,2207.350,0.7196,0.8518
