band,frequency_mhz,wavelength_m,altitude_km,depth_km,look_angle_deg,doppler_edge_hz,min_prf_hz,max_prf_hz,two_way_us,listen_window_us,usable
HF,9.0,33.31027311111111,25.0,0.0,0.0,0.0,0.0,2619.2955019460173,166.78204759907604,381.782047599076,True
HF,9.0,33.31027311111111,25.0,0.25,10.731276489279097,51.42759881440571,128.56899703601428,2599.0851300381537,169.75076804633957,384.75076804633954,True
HF,9.0,33.31027311111111,25.0,0.5,15.066717338530044,71.79410934942699,179.48527337356748,2579.1842547953293,172.71948849360314,387.71948849360314,True
HF,9.0,33.31027311111111,25.0,0.75,18.321605818805523,86.8207887882215,217.05197197055378,2559.5858209054804,175.68820894086667,390.6882089408667,True
HF,9.0,33.31027311111111,25.0,1.0,21.00766323109466,99.01251347092281,247.53128367730704,2540.2829858839837,178.65692938813024,393.65692938813027,True
HF,9.0,33.31027311111111,25.0,1.25,23.325008550463988,109.35684633143505,273.39211582858763,2521.269112108651,181.62564983539377,396.6256498353938,True
HF,9.0,33.31027311111111,25.0,1.5,25.377241167248222,118.36894165637892,295.9223541409473,2502.537759209769,184.59437028265734,399.59437028265734,True
HF,9.0,33.31027311111111,25.0,1.75,27.226476717926264,126.35986825082969,315.8996706270742,2484.0826767968624,187.5630907299209,402.5630907299209,True
HF,9.0,33.31027311111111,25.0,2.0,28.913558294267833,133.53549293210796,333.83873233026986,2465.8977975049197,190.53181117718444,405.5318111771844,True
HF,9.0,33.31027311111111,25.0,2.25,30.467110747228524,140.04093749858762,350.10234374646905,2447.977230343834,193.500531624448,408.500531624448,True
HF,9.0,33.31027311111111,25.0,2.5,31.908158351847188,145.98333545482836,364.95833863707094,2430.315254335744,196.46925207171154,411.46925207171154,True
HF,9.0,33.31027311111111,25.0,2.75,33.25270763008218,151.4446092060754,378.6115230151885,2412.9063124258355,199.4379725189751,414.43797251897513,True
HF,9.0,33.31027311111111,25.0,3.0,34.51329603510775,156.48916142905603,391.22290357264006,2395.7450056529965,202.40669296623867,417.40669296623867,True
HF,9.0,33.31027311111111,25.0,3.25,35.699972492390586,161.1687643530376,402.92191088259403,2378.826087567472,205.3754134135022,420.3754134135022,True
HF,9.0,33.31027311111111,25.0,3.5,36.82094604846018,165.52580730684008,413.8145182671002,2362.1444588833997,208.34413386076577,423.34413386076574,True
HF,9.0,33.31027311111111,25.0,3.75,37.883030749634166,169.59553323025614,423.98883307564034,2345.695162354774,211.31285430802933,426.31285430802933,True
HF,9.0,33.31027311111111,25.0,4.0,38.89196015191071,173.40762631618796,433.5190657904699,2329.4733778640248,214.28157475529287,429.28157475529287,True
HF,9.0,33.31027311111111,25.0,4.25,39.8526154768401,176.98736847461842,442.46842118654604,2313.4744177129846,217.25029520255643,432.25029520255646,True
HF,9.0,33.31027311111111,25.0,4.5,40.76919484533132,180.35650062675265,450.89125156688164,2297.6937221065873,220.21901564982,435.21901564982,True
HF,9.0,33.31027311111111,25.0,4.75,41.645341261634485,183.5338766702474,458.8346916756185,2282.126854820152,223.18773609708353,438.18773609708353,True
HF,9.0,33.31027311111111,25.0,5.0,42.48424106411451,186.53596850474074,466.3399212618518,2266.7694990416067,226.1564565443471,441.15645654434707,True
HF,9.0,33.31027311111111,25.0,5.25,43.28870080893502,189.37726192195205,473.4431548048801,2251.6174533804683,229.12517699161063,444.1251769916106,True
HF,9.0,33.31027311111111,25.0,5.5,44.061208124704166,192.0705711074486,480.17642776862147,2236.6666280358213,232.0938974388742,447.0938974388742,True
HF,9.0,33.31027311111111,25.0,5.75,44.8039804652154,194.62729148451868,486.5682287112967,2221.913041115963,235.06261788613776,450.0626178861378,True
HF,9.0,33.31027311111111,25.0,6.0,45.51900459501648,197.0576051823108,492.644012955777,2207.3528151027504,238.0313383334013,453.0313383334013,True
HF,9.0,33.31027311111111,25.0,6.25,46.208068887065984,199.3706496340102,498.4266240850255,2192.9821734540565,241.00005878066486,456.00005878066486,True
HF,9.0,33.31027311111111,25.0,6.5,46.872789979920796,201.57465714630217,503.9366428657554,2178.7974373380857,243.96877922792842,458.9687792279284,True
HF,9.0,33.31027311111111,25.0,6.75,47.5146349614464,203.6770713707337,509.1926784268343,2164.7950224936117,246.937499675192,461.937499675192,True
HF,9.0,33.31027311111111,25.0,7.0,48.13493996984494,205.6846452171973,514.2116130429932,2150.971436210515,249.90622012245552,464.9062201224555,True
HF,9.0,33.31027311111111,25.0,7.25,48.734925899568495,207.60352372420883,519.0088093105221,2137.3232744252687,252.87494056971906,467.87494056971906,True
HF,9.0,33.31027311111111,25.0,7.5,49.31571174828547,209.43931463475892,523.5982865868973,2123.8472189263084,255.84366101698265,470.84366101698265,True
HF,9.0,33.31027311111111,25.0,7.75,49.87832602698499,211.19714884795363,527.992872119884,2110.5400346644587,258.8123814642462,473.8123814642462,True
HF,9.0,33.31027311111111,25.0,8.0,50.423716568425576,212.88173247495146,532.2043311873787,2097.3985671638457,261.7811019115097,476.7811019115097,True
HF,9.0,33.31027311111111,25.0,8.25,50.95275900232059,214.49739188714415,536.2434797178604,2084.419740028931,264.7498223587733,479.7498223587733,True
HF,9.0,33.31027311111111,25.0,8.5,51.46626411379922,216.04811287954558,540.120282198864,2071.6005525435435,267.71854280603685,482.71854280603685,True
HF,9.0,33.31027311111111,25.0,8.75,51.96498426109228,217.5375748644017,543.8439371610043,2058.9380773579605,270.6872632533004,485.6872632533004,True
HF,9.0,33.31027311111111,25.0,9.0,52.44961899636748,218.9691808455391,547.4229521138478,2046.4294582603018,273.655983700564,488.655983700564,True
HF,9.0,33.31027311111111,25.0,9.25,52.92082000818031,220.34608379286823,550.8652094821706,2034.071908028666,276.6247041478275,491.6247041478275,True
HF,9.0,33.31027311111111,25.0,9.5,53.379195483626745,221.6712099312371,554.1780248280927,2021.862706360624,279.59342459509105,494.59342459509105,True
HF,9.0,33.31027311111111,25.0,9.75,53.82531397186044,222.94727937282397,557.3681984320599,2009.7991978768314,282.56214504235464,497.56214504235464,True
HF,9.0,33.31027311111111,25.0,10.0,54.25970781731964,224.1768244531517,560.4420611328793,1997.87879019569,285.5308654896182,500.5308654896182,True
HF,9.0,33.31027311111111,25.0,10.25,54.68287622014644,225.3622060742977,563.4055151857442,1986.0989520761177,288.4995859368817,503.4995859368817,True
HF,9.0,33.31027311111111,25.0,10.5,55.09528797237068,226.50562831240754,566.2640707810189,1974.4572116256404,291.46830638414525,506.46830638414525,True
HF,9.0,33.31027311111111,25.0,10.75,55.497383911084626,227.60915150821629,569.0228787705407,1962.9511545711346,294.43702683140884,509.43702683140884,True
HF,9.0,33.31027311111111,25.0,11.0,55.88957912374566,228.67470402737402,571.6867600684351,1951.5784225896846,297.4057472786724,512.4057472786724,True
HF,9.0,33.31027311111111,25.0,11.25,56.272264935675125,229.70409285074777,574.2602321268694,1940.3367116971278,300.3744677259359,515.3744677259359,True
HF,9.0,33.31027311111111,25.0,11.5,56.64581070558126,230.69901313254715,576.7475328313678,1929.2237706919755,303.3431881731995,518.3431881731995,True
HF,9.0,33.31027311111111,25.0,11.75,57.0105654513723,231.66105684532732,579.1526421133183,1918.2373996525023,306.31190862046304,521.3119086204631,True
HF,9.0,33.31027311111111,25.0,12.0,57.36685932552143,232.59172061503608,581.4793015375902,1907.3754484848994,309.2806290677266,524.2806290677265,True
HF,9.0,33.31027311111111,25.0,12.25,57.71500495670126,233.49241283578795,583.7310320894699,1896.6358155204687,312.2493495149902,527.2493495149902,True
HF,9.0,33.31027311111111,25.0,12.5,58.055298672243254,234.36446014256794,585.9111503564199,1886.0164461599547,315.2180699622537,530.2180699622537,True
HF,9.0,33.31027311111111,25.0,12.75,58.38802161413263,235.20911331024905,588.0227832756226,1875.5153315631546,318.18679040951724,533.1867904095172,True
HF,9.0,33.31027311111111,25.0,13.0,58.713440759671045,236.02755263889415,590.0688815972354,1865.1305073820688,321.15551085678084,536.1555108567809,True
HF,9.0,33.31027311111111,25.0,13.25,59.031809856583216,236.82089287806872,592.0522321951718,1854.8600525359068,324.1242313040444,539.1242313040443,True
HF,9.0,33.31027311111111,25.0,13.5,59.34337028117568,237.59018773664167,593.9754693416041,1844.7020880263403,327.0929517513079,542.092951751308,True
HF,9.0,33.31027311111111,25.0,13.75,59.648351827147124,238.3364340191434,595.8410850478585,1834.6547757914811,330.0616721985715,545.0616721985715,True
HF,9.0,33.31027311111111,25.0,14.0,59.94697343177461,239.06057542505349,597.6514385626338,1824.7163175970984,333.03039264583504,548.030392645835,True
HF,9.0,33.31027311111111,25.0,14.25,60.239443845441,239.76350604330534,599.4087651082633,1814.884953963686,335.9991130930986,550.9991130930986,True
HF,9.0,33.31027311111111,25.0,14.5,60.52596224980551,240.44607357072826,601.1151839268207,1805.1589631280278,338.9678335403621,553.9678335403621,True
HF,9.0,33.31027311111111,25.0,14.75,60.80671882934229,241.10908228002899,602.7727057000725,1795.5366600379737,341.93655398762564,556.9365539876256,True
HF,9.0,33.31027311111111,25.0,15.0,61.08189530046446,241.75329576017936,604.3832394004484,1786.0163953791955,344.9052744348892,559.9052744348892,True
HF,9.0,33.31027311111111,25.0,15.25,61.35166540200674,242.37943944967182,605.9485986241796,1776.5965546327413,347.8739948821528,562.8739948821528,True
HF,9.0,33.31027311111111,25.0,15.5,61.61619535044849,242.98820298098835,607.4705074524709,1767.2755571622597,350.8427153294163,565.8427153294163,True
HF,9.0,33.31027311111111,25.0,15.75,61.875644262914236,243.58024235275744,608.9506058818936,1758.051855329801,353.81143577667984,568.8114357766799,True
HF,9.0,33.31027311111111,25.0,16.0,62.13016455068367,244.15618194442195,610.3904548610549,1748.923933639173,356.78015622394344,571.7801562239434,True
HF,9.0,33.31027311111111,25.0,16.25,62.37990228567296,244.7166163867725,611.7915409669313,1739.8903079058366,359.748876671207,574.748876671207,True
HF,9.0,33.31027311111111,25.0,16.5,62.62499754211039,245.26211230040255,613.1552807510063,1730.9495244524005,362.7175971184705,577.7175971184705,True
HF,9.0,33.31027311111111,25.0,16.75,62.86558471541537,245.79320991298013,614.4830247824503,1722.1001593287917,365.68631756573404,580.686317565734,True
HF,9.0,33.31027311111111,25.0,17.0,63.10179282010112,246.31042456520194,615.7760614130049,1713.3408175562267,368.65503801299764,583.6550380129977,True
HF,9.0,33.31027311111111,25.0,17.25,63.33374576835124,246.81424811437108,617.0356202859277,1704.6701323941377,371.6237584602612,586.6237584602611,True
HF,9.0,33.31027311111111,25.0,17.5,63.56156263076983,247.30515024371877,618.2628756092969,1696.086764629245,374.5924789075247,589.5924789075248,True
HF,9.0,33.31027311111111,25.0,17.75,63.78535788066846,247.7835796848483,619.4589492121207,1687.5894018860033,377.5611993547883,592.5611993547883,True
HF,9.0,33.31027311111111,25.0,18.0,64.00524162313297,248.24996536002118,620.624913400053,1679.176757957669,380.52991980205184,595.5299198020518,True
HF,9.0,33.31027311111111,25.0,18.25,64.2213198100023,248.70471745040584,621.7617936260147,1670.8475721572768,383.4986402493154,598.4986402493154,True
HF,9.0,33.31027311111111,25.0,18.5,64.43369444179493,249.14822839587816,622.8705709896954,1662.6006086878388,386.46736069657896,601.4673606965789,True
HF,9.0,33.31027311111111,25.0,18.75,64.64246375752893,249.58087383147557,623.952184578689,1654.4346560311012,389.4360811438425,604.4360811438426,True
HF,9.0,33.31027311111111,25.0,19.0,64.84772241330234,250.00301346517583,625.0075336629395,1646.3485263542286,392.40480159110604,607.404801591106,True
