position_km,normal_altitude_km,parabolic_altitude_km,parabolic_vertical_speed_km_s,normal_radial_velocity_m_s,parabolic_radial_velocity_m_s,normal_vhf_doppler_hz,parabolic_vhf_doppler_hz,normal_hf_doppler_hz,parabolic_hf_doppler_hz
-60.000,400.000000,404.000000,-0.533333,-592.231641,-1113.078244,236.892656,445.231297,35.569468,66.851546
-59.800,400.000000,403.973378,-0.531556,-590.300599,-1109.484055,236.120239,443.793622,35.453489,66.635679
-59.600,400.000000,403.946844,-0.529778,-588.369134,-1105.888751,235.347654,442.355500,35.337486,66.419745
-59.400,400.000000,403.920400,-0.528000,-586.437249,-1102.292334,234.574900,440.916934,35.221456,66.203744
-59.200,400.000000,403.894044,-0.526222,-584.504945,-1098.694807,233.801978,439.477923,35.105402,65.987676
-59.000,400.000000,403.867778,-0.524444,-582.572222,-1095.096173,233.028889,438.038469,34.989323,65.771542
-58.800,400.000000,403.841600,-0.522667,-580.639082,-1091.496436,232.255633,436.598574,34.873218,65.555341
-58.600,400.000000,403.815511,-0.520889,-578.705527,-1087.895597,231.482211,435.158239,34.757089,65.339075
-58.400,400.000000,403.789511,-0.519111,-576.771557,-1084.293661,230.708623,433.717465,34.640934,65.122742
-58.200,400.000000,403.763600,-0.517333,-574.837174,-1080.690631,229.934870,432.276252,34.524755,64.906344
-58.000,400.000000,403.737778,-0.515556,-572.902380,-1077.086508,229.160952,430.834603,34.408551,64.689880
-57.800,400.000000,403.712044,-0.513778,-570.967174,-1073.481297,228.386870,429.392519,34.292323,64.473351
-57.600,400.000000,403.686400,-0.512000,-569.031559,-1069.875000,227.612624,427.950000,34.176070,64.256757
-57.400,400.000000,403.660844,-0.510222,-567.095536,-1066.267620,226.838215,426.507048,34.059792,64.040097
-57.200,400.000000,403.635378,-0.508444,-565.159107,-1062.659161,226.063643,425.063664,33.943490,63.823373
-57.000,400.000000,403.610000,-0.506667,-563.222271,-1059.049625,225.288909,423.619850,33.827163,63.606584
-56.800,400.000000,403.584711,-0.504889,-561.285032,-1055.439016,224.514013,422.175607,33.710813,63.389731
-56.600,400.000000,403.559511,-0.503111,-559.347389,-1051.827337,223.738956,420.730935,33.594438,63.172813
-56.400,400.000000,403.534400,-0.501333,-557.409345,-1048.214590,222.963738,419.285836,33.478039,62.955831
-56.200,400.000000,403.509378,-0.499556,-555.470901,-1044.600779,222.188360,417.840312,33.361616,62.738786
-56.000,400.000000,403.484444,-0.497778,-553.532057,-1040.985907,221.412823,416.394363,33.245169,62.521676
-55.800,400.000000,403.459600,-0.496000,-551.592815,-1037.369977,220.637126,414.947991,33.128698,62.304503
-55.600,400.000000,403.434844,-0.494222,-549.653177,-1033.752992,219.861271,413.501197,33.012203,62.087267
-55.400,400.000000,403.410178,-0.492444,-547.713144,-1030.134955,219.085258,412.053982,32.895684,61.869967
-55.200,400.000000,403.385600,-0.490667,-545.772717,-1026.515869,218.309087,410.606348,32.779142,61.652605
-55.000,400.000000,403.361111,-0.488889,-543.831897,-1022.895738,217.532759,409.158295,32.662576,61.435179
-54.800,400.000000,403.336711,-0.487111,-541.890685,-1019.274565,216.756274,407.709826,32.545987,61.217692
-54.600,400.000000,403.312400,-0.485333,-539.949083,-1015.652352,215.979633,406.260941,32.429374,61.000141
-54.400,400.000000,403.288178,-0.483556,-538.007093,-1012.029103,215.202837,404.811641,32.312738,60.782529
-54.200,400.000000,403.264044,-0.481778,-536.064715,-1008.404821,214.425886,403.361929,32.196079,60.564854
-54.000,400.000000,403.240000,-0.480000,-534.121951,-1004.779510,213.648780,401.911804,32.079396,60.347118
-53.800,400.000000,403.216044,-0.478222,-532.178802,-1001.153171,212.871521,400.461269,31.962691,60.129320
-53.600,400.000000,403.192178,-0.476444,-530.235269,-997.525809,212.094108,399.010324,31.845962,59.911460
-53.400,400.000000,403.168400,-0.474667,-528.291354,-993.897427,211.316542,397.558971,31.729210,59.693539
-53.200,400.000000,403.144711,-0.472889,-526.347058,-990.268028,210.538823,396.107211,31.612436,59.475557
-53.000,400.000000,403.121111,-0.471111,-524.402382,-986.637615,209.760953,394.655046,31.495639,59.257514
-52.800,400.000000,403.097600,-0.469333,-522.457328,-983.006191,208.982931,393.202476,31.378818,59.039411
-52.600,400.000000,403.074178,-0.467556,-520.511897,-979.373759,208.204759,391.749504,31.261976,58.821247
