along_km,terrain_candidate_band,flat_beam_candidate_band,nadir_only_flat_band,terrain_minus_flat_excess
0.0,18637.017840649278,92.39418419015352,0.0019734361795794787,18544.623656459124
0.5,18678.987797950456,93.6313800801001,0.0019734361795794787,18585.356417870356
1.0,18842.945407213894,94.88762313597137,0.0019734361795794787,18748.057784077922
1.5,19116.9894811606,96.13486081606297,0.0019734361795794787,19020.854620344537
2.0,19263.7963518162,97.37483877052931,0.0019734361795794787,19166.42151304567
2.5,19417.657266970316,98.62609567430144,0.0019734361795794787,19319.031171296014
3.0,19593.660806838703,99.75304803941816,0.0019734361795794787,19493.907758799283
3.5,19811.5395273937,100.87629213317432,0.0019734361795794787,19710.663235260527
4.0,20101.70405647937,101.9959344978694,0.0019734361795794787,19999.7081219815
4.5,20388.81804390122,103.2349543360981,0.0019734361795794787,20285.583089565123
5.0,20606.905342773385,104.48295310671516,0.0019734361795794787,20502.42238966667
5.5,20876.884266439098,105.73228545168686,0.0019734361795794787,20771.15198098741
6.0,20993.38480980978,106.85715210837196,0.0019734361795794787,20886.52765770141
6.5,21249.009452096216,108.10535346190971,0.0019734361795794787,21140.904098634306
7.0,21460.66073705478,109.34997211749332,0.0019734361795794787,21351.310764937287
7.5,21682.73349283248,110.60102297697534,0.0019734361795794787,21572.132469855507
8.0,21976.962416685717,111.84382847521833,0.0019734361795794787,21865.1185882105
8.5,22235.39934870551,113.09008553609661,0.0019734361795794787,22122.309263169413
9.0,22500.86572436301,114.3280535709809,0.0019734361795794787,22386.53767079203
9.5,22837.34459937084,115.57922322679018,0.0019734361795794787,22721.765376144052
10.0,23172.14053804335,116.82123126297566,0.0019734361795794787,23055.319306780373
10.5,23441.863777330247,118.19021298942636,0.0019734361795794787,23323.67356434082
11.0,23831.134632429512,119.44222125876082,0.0019734361795794787,23711.692411170752
11.5,24225.20055977622,120.8260608010822,0.0019734361795794787,24104.37449897514
12.0,24599.26272987573,122.18757755802703,0.0019734361795794787,24477.075152317702
12.5,25036.03462736822,123.56146501848033,0.0019734361795794787,24912.47316234974
13.0,25474.37763661657,124.9211159677699,0.0019734361795794787,25349.4565206488
13.5,25877.634063752645,126.42709391528628,0.0019734361795794787,25751.20696983736
14.0,26291.63605649123,127.80450665254871,0.0019734361795794787,26163.83154983868
14.5,26640.657689686665,129.16232183799275,0.0019734361795794787,26511.49536784867
15.0,27138.655123957855,130.65588212256628,0.0019734361795794787,27007.99924183529
15.5,27656.04273460439,132.15939658141355,0.0019734361795794787,27523.883338022977
16.0,28018.406248173058,133.65327589747733,0.0019734361795794787,27884.75297227558
16.5,28328.234897371123,135.27879261494746,0.0019734361795794787,28192.956104756177
17.0,28700.099697355156,136.8897645248611,0.0019734361795794787,28563.209932830294
17.5,29138.940434041026,138.51011218199983,0.0019734361795794787,29000.430321859025
18.0,29615.220608742813,140.24945387134812,0.0019734361795794787,29474.971154871466
18.5,30001.60788045827,142.00715276503874,0.0019734361795794787,29859.60072769323
19.0,30353.889582539712,143.88635616398315,0.0019734361795794787,30210.003226375728
19.5,30780.91202134071,145.76201923240785,0.0019734361795794787,30635.150002108305
20.0,31191.189374833895,147.74924656817376,0.0019734361795794787,31043.44012826572
20.5,31606.699943159332,149.87205704149568,0.0019734361795794787,31456.827886117837
21.0,32104.226108521616,152.24620669621595,0.0019734361795794787,31951.9799018254
21.5,32788.07980046481,154.87574864787132,0.0019734361795794787,32633.204051816938
22.0,33574.11175043962,157.75101437665614,0.0019734361795794787,33416.36073606296
22.5,34320.49616212738,161.58633403087632,0.0019734361795794787,34158.909828096504
23.0,34967.45503448735,165.14891696670577,0.0019734361795794787,34802.306117520646
23.5,35568.08839397139,168.57832454055142,0.0019734361795794787,35399.510069430835
24.0,36126.949863093134,171.75152151744453,0.0019734361795794787,35955.19834157569
24.5,36647.87526934096,174.65444869250103,0.0019734361795794787,36473.220820648465
25.0,37246.8333977744,177.30166261294082,0.0019734361795794787,37069.53173516146
25.5,37618.53755927197,179.57508006335263,0.0019734361795794787,37438.96247920862
26.0,37972.49923338179,181.47183764360233,0.0019734361795794787,37791.027395738194
26.5,38069.31952336637,182.87979565398902,0.0019734361795794787,37886.439727712386
27.0,38138.79956023593,183.5368634848762,0.0019734361795794787,37955.26269675105
27.5,38176.043120736715,183.54775720941845,0.0019734361795794787,37992.4953635273
28.0,38246.59169537899,183.5376554038809,0.0019734361795794787,38063.05403997511
28.5,38249.35451414053,183.54657878211108,0.0019734361795794787,38065.80793535842
29.0,38306.36500589585,183.5461204936996,0.0019734361795794787,38122.81888540215
29.5,38270.79524793529,183.5365056602401,0.0019734361795794787,38087.25874227505
30.0,38361.490056332244,183.5421840830279,0.0019734361795794787,38177.94787224921
30.5,38345.23173360101,183.54871184324847,0.0019734361795794787,38161.68302175776
31.0,38368.9777743238,183.54404008813236,0.0019734361795794787,38185.43373423567
31.5,38340.10270629837,183.53792869472454,0.0019734361795794787,38156.56477760365
32.0,38202.817090014185,183.5424562019786,0.0019734361795794787,38019.27463381221
32.5,38305.472317771346,183.54191514824632,0.0019734361795794787,38121.9304026231
33.0,38351.08498594772,183.5474812039524,0.0019734361795794787,38167.53750474376
33.5,38403.366687164504,183.54732526333495,0.0019734361795794787,38219.819361901165
34.0,38465.703918948595,183.539270650303,0.0019734361795794787,38282.16464829829
34.5,38609.305340977364,183.5402419638087,0.0019734361795794787,38425.76509901355
35.0,38638.76014000964,183.54413334080698,0.0019734361795794787,38455.21600666883
35.5,38630.60467687374,183.54497169840022,0.0019734361795794787,38447.05970517534
36.0,38597.06949422653,183.53888147942286,0.0019734361795794787,38413.53061274711
36.5,38655.975025344946,183.54468714584536,0.0019734361795794787,38472.4303381991
37.0,38746.04499311541,183.53868713803746,0.0019734361795794787,38562.50630597737
37.5,38760.9532503798,183.53720039828116,0.0019734361795794787,38577.41604998151
38.0,38789.26036974743,183.54637343165246,0.0019734361795794787,38605.71399631578
38.5,38755.072029851326,183.55228568561077,0.0019734361795794787,38571.519744165715
39.0,38788.20449131536,183.53728042228988,0.0019734361795794787,38604.667210893065
39.5,38857.915774950496,183.5317634838845,0.0019734361795794787,38674.38401146661
40.0,38893.73071151875,183.5496626459657,0.0019734361795794787,38710.181048872786
40.5,38930.57226424699,183.54353197626682,0.0019734361795794787,38747.02873227072
41.0,39025.31777909279,183.54338275966813,0.0019734361795794787,38841.774396333116
41.5,38987.29617901802,183.53941276766824,0.0019734361795794787,38803.75676625035
42.0,39056.356576427126,183.5342265591007,0.0019734361795794787,38872.82234986802
42.5,39041.66174864616,183.5409252259742,0.0019734361795794787,38858.12082342019
43.0,38903.89043042701,183.5501283962033,0.0019734361795794787,38720.34030203081
43.5,39112.72802283653,183.5432243379646,0.0019734361795794787,38929.184798498565
44.0,39080.23434475172,183.54941752810117,0.0019734361795794787,38896.68492722362
44.5,39162.23900074704,183.54700637605873,0.0019734361795794787,38978.69199437098
45.0,39022.199655054595,183.53686626303525,0.0019734361795794787,38838.66278879156
45.5,39102.88932186951,183.5394902632286,0.0019734361795794787,38919.34983160628
46.0,39337.69339531379,183.536432970681,0.0019734361795794787,39154.15696234311
46.5,39354.52098992123,183.5471381088604,0.0019734361795794787,39170.97385181237
47.0,39363.081373080735,183.54137332884446,0.0019734361795794787,39179.53999975189
47.5,39251.27792506065,183.54910221058827,0.0019734361795794787,39067.72882285006
48.0,39221.11986052985,183.54224925548178,0.0019734361795794787,39037.57761127437
48.5,39233.30434364617,183.55259825973823,0.0019734361795794787,39049.75174538643
49.0,39216.71371434392,183.5475267257236,0.0019734361795794787,39033.1661876182
49.5,39344.10882642911,183.54779904798315,0.0019734361795794787,39160.561027381125
50.0,39354.06043682603,183.54210643318584,0.0019734361795794787,39170.51833039285
50.5,39326.264768240035,183.54923971293908,0.0019734361795794787,39142.71552852709
51.0,39379.636200373665,183.54133240561626,0.0019734361795794787,39196.09486796805
51.5,39370.999922561525,183.53344216705327,0.0019734361795794787,39187.46648039447
52.0,39363.389365826944,183.54051202050488,0.0019734361795794787,39179.84885380644
52.5,39259.57092605823,183.5353675626325,0.0019734361795794787,39076.0355584956
53.0,39268.217222911975,183.5402597495164,0.0019734361795794787,39084.676963162456
53.5,39362.800533709706,183.54302835108504,0.0019734361795794787,39179.25750535862
54.0,39408.01519706062,183.5462723332309,0.0019734361795794787,39224.468924727385
54.5,39418.72497396372,183.5355641201525,0.0019734361795794787,39235.189409843566
55.0,39380.86543146928,183.54474695270594,0.0019734361795794787,39197.32068451658
55.5,39366.878804098145,183.54095787823107,0.0019734361795794787,39183.33784621991
56.0,39404.96693405229,183.54419071522864,0.0019734361795794787,39221.42274333706
56.5,39363.31813222384,183.54248988460196,0.0019734361795794787,39179.775642339235
57.0,39294.92988744466,183.5341107875871,0.0019734361795794787,39111.395776657075
57.5,39230.17115326979,183.5417922278434,0.0019734361795794787,39046.629361041945
58.0,39252.96337043234,183.5483194533233,0.0019734361795794787,39069.41505097902
58.5,39217.29046248901,183.54298146696857,0.0019734361795794787,39033.74748102204
59.0,39182.283170516086,183.54235985366643,0.0019734361795794787,38998.74081066242
59.5,39181.23336747385,183.53865923661382,0.0019734361795794787,38997.694708237235
60.0,39156.10199641502,183.54099337156393,0.0019734361795794787,38972.561003043455
60.5,39042.867243108085,183.54323911227252,0.0019734361795794787,38859.32400399581
61.0,38911.92738059884,183.54007777616263,0.0019734361795794787,38728.38730282268
