position_km,normal_altitude_km,ascending_altitude_km,descending_altitude_km,normal_radial_velocity_m_s,ascending_radial_velocity_m_s,descending_radial_velocity_m_s,normal_vhf_doppler_hz,ascending_vhf_doppler_hz,descending_vhf_doppler_hz,normal_hf_doppler_hz,ascending_hf_doppler_hz,descending_hf_doppler_hz
-60.000,400.000000,392.500000,407.500000,-592.231641,-109.967239,-1075.362657,236.892656,43.986896,430.145063,35.569468,6.604639,64.586346
-59.800,400.000000,392.525000,407.475000,-590.300599,-107.926468,-1073.533445,236.120239,43.170587,429.413378,35.453489,6.482070,64.476483
-59.600,400.000000,392.550000,407.450000,-588.369134,-105.885614,-1071.703519,235.347654,42.354246,428.681407,35.337486,6.359496,64.366578
-59.400,400.000000,392.575000,407.425000,-586.437249,-103.844679,-1069.872879,234.574900,41.537871,427.949152,35.221456,6.236918,64.256629
-59.200,400.000000,392.600000,407.400000,-584.504945,-101.803663,-1068.041527,233.801978,40.721465,427.216611,35.105402,6.114334,64.146638
-59.000,400.000000,392.625000,407.375000,-582.572222,-99.762569,-1066.209464,233.028889,39.905028,426.483785,34.989323,5.991746,64.036604
-58.800,400.000000,392.650000,407.350000,-580.639082,-97.721399,-1064.376689,232.255633,39.088560,425.750676,34.873218,5.869153,63.926528
-58.600,400.000000,392.675000,407.325000,-578.705527,-95.680153,-1062.543206,231.482211,38.272061,425.017282,34.757089,5.746556,63.816409
-58.400,400.000000,392.700000,407.300000,-576.771557,-93.638834,-1060.709013,230.708623,37.455533,424.283605,34.640934,5.623954,63.706247
-58.200,400.000000,392.725000,407.275000,-574.837174,-91.597442,-1058.874112,229.934870,36.638977,423.549645,34.524755,5.501348,63.596043
-58.000,400.000000,392.750000,407.250000,-572.902380,-89.555980,-1057.038504,229.160952,35.822392,422.815401,34.408551,5.378738,63.485796
-57.800,400.000000,392.775000,407.225000,-570.967174,-87.514449,-1055.202189,228.386870,35.005780,422.080876,34.292323,5.256123,63.375507
-57.600,400.000000,392.800000,407.200000,-569.031559,-85.472851,-1053.365169,227.612624,34.189140,421.346068,34.176070,5.133505,63.265175
-57.400,400.000000,392.825000,407.175000,-567.095536,-83.431187,-1051.527444,226.838215,33.372475,420.610978,34.059792,5.010882,63.154801
-57.200,400.000000,392.850000,407.150000,-565.159107,-81.389459,-1049.689016,226.063643,32.555783,419.875606,33.943490,4.888256,63.044385
-57.000,400.000000,392.875000,407.125000,-563.222271,-79.347668,-1047.849885,225.288909,31.739067,419.139954,33.827163,4.765626,62.933927
-56.800,400.000000,392.900000,407.100000,-561.285032,-77.305815,-1046.010051,224.514013,30.922326,418.404021,33.710813,4.642992,62.823427
-56.600,400.000000,392.925000,407.075000,-559.347389,-75.263904,-1044.169517,223.738956,30.105562,417.667807,33.594438,4.520355,62.712884
-56.400,400.000000,392.950000,407.050000,-557.409345,-73.221934,-1042.328282,222.963738,29.288774,416.931313,33.478039,4.397714,62.602299
-56.200,400.000000,392.975000,407.025000,-555.470901,-71.179908,-1040.486348,222.188360,28.471963,416.194539,33.361616,4.275070,62.491673
-56.000,400.000000,393.000000,407.000000,-553.532057,-69.137827,-1038.643716,221.412823,27.655131,415.457486,33.245169,4.152422,62.381004
-55.800,400.000000,393.025000,406.975000,-551.592815,-67.095693,-1036.800386,220.637126,26.838277,414.720154,33.128698,4.029771,62.270293
-55.600,400.000000,393.050000,406.950000,-549.653177,-65.053508,-1034.956359,219.861271,26.021403,413.982544,33.012203,3.907118,62.159541
-55.400,400.000000,393.075000,406.925000,-547.713144,-63.011272,-1033.111636,219.085258,25.204509,413.244655,32.895684,3.784461,62.048747
-55.200,400.000000,393.100000,406.900000,-545.772717,-60.968988,-1031.266219,218.309087,24.387595,412.506487,32.779142,3.661801,61.937911
-55.000,400.000000,393.125000,406.875000,-543.831897,-58.926656,-1029.420107,217.532759,23.570663,411.768043,32.662576,3.539139,61.827033
-54.800,400.000000,393.150000,406.850000,-541.890685,-56.884280,-1027.573302,216.756274,22.753712,411.029321,32.545987,3.416473,61.716114
-54.600,400.000000,393.175000,406.825000,-539.949083,-54.841859,-1025.725805,215.979633,21.936744,410.290322,32.429374,3.293805,61.605153
-54.400,400.000000,393.200000,406.800000,-538.007093,-52.799396,-1023.877617,215.202837,21.119759,409.551047,32.312738,3.171135,61.494151
-54.200,400.000000,393.225000,406.775000,-536.064715,-50.756893,-1022.028738,214.425886,20.302757,408.811495,32.196079,3.048462,61.383107
-54.000,400.000000,393.250000,406.750000,-534.121951,-48.714351,-1020.179170,213.648780,19.485740,408.071668,32.079396,2.925787,61.272022
-53.800,400.000000,393.275000,406.725000,-532.178802,-46.671771,-1018.328912,212.871521,18.668708,407.331565,31.962691,2.803109,61.160896
-53.600,400.000000,393.300000,406.700000,-530.235269,-44.629155,-1016.477968,212.094108,17.851662,406.591187,31.845962,2.680430,61.049728
-53.400,400.000000,393.325000,406.675000,-528.291354,-42.586504,-1014.626336,211.316542,17.034602,405.850534,31.729210,2.557748,60.938519
-53.200,400.000000,393.350000,406.650000,-526.347058,-40.543821,-1012.774019,210.538823,16.217528,405.109607,31.612436,2.435064,60.827268
-53.000,400.000000,393.375000,406.625000,-524.402382,-38.501107,-1010.921016,209.760953,15.400443,404.368406,31.495639,2.312379,60.715977
-52.800,400.000000,393.400000,406.600000,-522.457328,-36.458362,-1009.067330,208.982931,14.583345,403.626932,31.378818,2.189691,60.604644
